category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Metabolism	Global and overview maps	dosa01200	Carbon metabolism	44/570	226/3900	0.194690265486726	1.33209129017233	2.12781593856337	0.024037353772849	0.01	0.01	Os04g0459500/Os03g0136900/Os06g0677400/Os01g0337900/Os07g0152900/Os04g0677500/Os01g0276700/Os01g0829800/Os03g0267300/Os06g0486800/Os02g0232400/Os06g0486900/Os10g0167300/Os03g0248600/Os11g0216000/Os02g0621700/Os03g0330200/Os06g0114650/Os04g0490800/Os10g0390500/Os03g0815200/Os01g0874900/Os03g0781400/Os04g0119400/Os11g0148500/Os07g0529000/Os06g0564500/Os04g0650800/Os03g0169100/Os07g0181000/Os06g0103500/Os07g0108300/Os01g0764900/Os02g0115700/Os05g0186300/Os01g0110400/Os02g0601300/Os01g0723400/Os09g0408600/Os04g0479200/Os03g0794500/Os04g0390000/Os01g0722700/Os01g0866400	44
Metabolism	Global and overview maps	dosa01230	Biosynthesis of amino acids	42/570	178/3900	0.235955056179775	1.61442933175636	3.47124834256555	0.000751089031751841	0.01	0.01	Os03g0655700/Os03g0760700/Os03g0136900/Os08g0559600/Os01g0927900/Os08g0135900/Os04g0677500/Os01g0276700/Os12g0624000/Os02g0232400/Os10g0167300/Os03g0248600/Os11g0216000/Os03g0330200/Os03g0264400/Os04g0659100/Os02g0655300/Os10g0390500/Os01g0375200/Os03g0231600/Os01g0874900/Os03g0781400/Os11g0148500/Os06g0564500/Os04g0650800/Os03g0169100/Os02g0436400/Os03g0305500/Os02g0797500/Os07g0181000/Os03g0617900/Os07g0108300/Os05g0549700/Os02g0601300/Os12g0138900/Os09g0294000/Os04g0479200/Os03g0850400/Os03g0431200/Os03g0826500/Os02g0749300/Os08g0441600	42
Metabolism	Global and overview maps	dosa01240	Biosynthesis of cofactors	33/570	190/3900	0.173684210526316	1.18836565096953	1.10124382230528	0.01	0.01	0.01	Os07g0618500/Os05g0460600/Os01g0337900/Os04g0557000/Os02g0572400/Os02g0791500/Os06g0270900/Os01g0736400/Os02g0196900/Os01g0976600/Os11g0143500/Os06g0196600/Os02g0647900/Os03g0268400/Os03g0231600/Os06g0109600/Os01g0874900/Os09g0345700/Os12g0443500/Os11g0191400/Os04g0455800/Os04g0540600/Os07g0167100/Os12g0615400/Os08g0496000/Os12g0443600/Os08g0532200/Os05g0511500/Os02g0273100/Os07g0529600/Os01g0271200/Os01g0238500/Os04g0610800	33
Metabolism	Carbohydrate metabolism	dosa00010	Glycolysis / Gluconeogenesis	21/570	112/3900	0.1875	1.28289473684211	1.25666877028871	0.01	0.01	0.01	Os05g0469600/Os01g0337900/Os06g0270900/Os04g0677500/Os01g0276700/Os03g0267300/Os10g0167300/Os03g0248600/Os11g0216000/Os03g0330200/Os02g0647900/Os04g0119400/Os11g0148500/Os04g0540600/Os07g0181000/Os11g0210300/Os02g0601300/Os07g0693100/Os09g0408600/Os01g0722700/Os01g0866400	21
Metabolism	Global and overview maps	dosa01210	2-Oxocarboxylic acid metabolism	20/570	70/3900	0.285714285714286	1.95488721804511	3.33498313236282	0.00177188115872124	0.01	0.01	Os03g0655700/Os03g0760700/Os03g0136900/Os08g0559600/Os01g0337900/Os01g0927900/Os02g0232400/Os02g0655300/Os10g0390500/Os03g0231600/Os04g0119400/Os02g0797500/Os03g0617900/Os07g0108300/Os12g0138900/Os09g0408600/Os04g0479200/Os03g0850400/Os03g0431200/Os04g0390000	20
Metabolism	Carbohydrate metabolism	dosa00620	Pyruvate metabolism	18/570	79/3900	0.227848101265823	1.55896069287142	2.07633882141818	0.0329434631937325	0.01	0.01	Os08g0191700/Os01g0337900/Os06g0270900/Os04g0677500/Os01g0276700/Os01g0829800/Os11g0216000/Os02g0647900/Os04g0119400/Os11g0148500/Os04g0540600/Os07g0181000/Os05g0186300/Os11g0210300/Os01g0110400/Os12g0138900/Os01g0723400/Os09g0408600	18
Metabolism	Carbohydrate metabolism	dosa00630	Glyoxylate and dicarboxylate metabolism	15/570	66/3900	0.227272727272727	1.55502392344498	1.88126313541359	0.0498560015377056	0.01	0.01	Os03g0136900/Os01g0337900/Os07g0152900/Os01g0829800/Os06g0486800/Os02g0232400/Os06g0486900/Os04g0490800/Os04g0659100/Os01g0874900/Os07g0529000/Os07g0108300/Os01g0764900/Os02g0115700/Os01g0110400	15
Cellular Processes	Transport and catabolism	dosa04146	Peroxisome	15/570	70/3900	0.214285714285714	1.46616541353383	1.62810200162594	0.01	0.01	0.01	Os07g0152900/Os04g0354600/Os02g0817700/Os01g0269000/Os03g0429800/Os12g0168700/Os04g0614000/Os04g0617600/Os03g0167600/Os06g0103500/Os09g0567500/Os02g0115700/Os06g0143000/Os03g0583800/Os01g0730800	15
Metabolism	Amino acid metabolism	dosa00260	Glycine, serine and threonine metabolism	14/570	54/3900	0.259259259259259	1.77387914230019	2.36895772312245	0.0200631455858799	0.01	0.01	Os03g0760700/Os01g0337900/Os01g0927900/Os08g0135900/Os06g0698785/Os03g0330200/Os01g0874900/Os06g0338200/Os04g0650800/Os04g0464200/Os07g0108300/Os05g0549700/Os09g0294000/Os03g0850400	14
Genetic Information Processing	Translation	dosa03008	Ribosome biogenesis in eukaryotes	13/570	67/3900	0.194029850746269	1.32757266300079	1.11883893639353	0.01	0.01	0.01	Os03g0352400/Os03g0350300/Os03g0350100/Os05g0519500/Os03g0824300/Os06g0109400/Os01g0375000/Os04g0650600/Os07g0661800/Os07g0636000/Os07g0603200/Os06g0600301/Os02g0290400	13
Metabolism	Amino acid metabolism	dosa00250	Alanine, aspartate and glutamate metabolism	12/570	43/3900	0.27906976744186	1.9094247246022	2.48066485767206	0.0171393319490331	0.01	0.01	Os08g0205900/Os04g0614500/Os03g0720300/Os04g0659100/Os10g0390500/Os03g0305500/Os02g0797500/Os07g0108300/Os03g0597600/Os01g0558200/Os03g0794500/Os04g0614600	12
Genetic Information Processing	Translation	dosa00970	Aminoacyl-tRNA biosynthesis	12/570	45/3900	0.266666666666667	1.82456140350877	2.30148949345818	0.0244238312011321	0.01	0.01	Os06g0103600/Os10g0182000/Os01g0372700/Os12g0540900/Os07g0675400/Os05g0150900/Os02g0754700/Os12g0443700/Os07g0165000/Os09g0503400/Os01g0271200/Os01g0687500	12
Metabolism	Carbohydrate metabolism	dosa00562	Inositol phosphate metabolism	12/570	51/3900	0.235294117647059	1.60990712074303	1.81370547921907	0.01	0.01	0.01	Os01g0102000/Os10g0369900/Os12g0183300/Os08g0428900/Os03g0826600/Os08g0307400/Os04g0661200/Os03g0726200/Os09g0518700/Os04g0691900/Os06g0561000/Os02g0554300	12
Metabolism	Carbohydrate metabolism	dosa00053	Ascorbate and aldarate metabolism	11/570	46/3900	0.239130434782609	1.63615560640732	1.79547080735865	0.01	0.01	0.01	Os02g0791500/Os06g0270900/Os11g0143500/Os02g0647900/Os04g0434800/Os12g0443500/Os02g0707100/Os04g0540600/Os12g0443600/Os11g0217300/Os06g0561000	11
Metabolism	Amino acid metabolism	dosa00280	Valine, leucine and isoleucine degradation	10/570	40/3900	0.25	1.71052631578947	1.86856598832722	0.01	0.01	0.01	Os06g0677400/Os01g0337900/Os06g0270900/Os02g0817700/Os01g0269000/Os02g0647900/Os03g0231600/Os04g0540600/Os01g0110400/Os03g0118800	10
Metabolism	Lipid metabolism	dosa00071	Fatty acid degradation	10/570	43/3900	0.232558139534884	1.59118727050184	1.61259909321077	0.01	0.01	0.01	Os06g0270900/Os02g0817700/Os12g0168700/Os02g0647900/Os01g0348600/Os02g0274100/Os04g0540600/Os06g0103500/Os11g0210300/Os01g0110400	10
Metabolism	Amino acid metabolism	dosa00220	Arginine biosynthesis	9/570	29/3900	0.310344827586207	2.12341197822142	2.5119928107881	0.0186931357275657	0.01	0.01	Os04g0659100/Os10g0390500/Os03g0305500/Os02g0797500/Os03g0617900/Os07g0108300/Os01g0558200/Os03g0431200/Os03g0794500	9
Environmental Information Processing	Membrane transport	dosa02010	ABC transporters	8/570	31/3900	0.258064516129032	1.76570458404075	1.77065788534287	0.01	0.01	0.01	Os02g0693700/Os01g0533900/Os03g0280000/Os03g0281900/Os01g0609900/Os03g0157400/Os01g0609300/Os06g0503100	8
Metabolism	Energy metabolism	dosa00910	Nitrogen metabolism	7/570	23/3900	0.304347826086957	2.08237986270023	2.15371210959004	0.0404714280046946	0.01	0.01	Os08g0468100/Os04g0659100/Os12g0153500/Os08g0468700/Os01g0764900/Os01g0558200/Os03g0794500	7
Metabolism	Carbohydrate metabolism	dosa00650	Butanoate metabolism	7/570	24/3900	0.291666666666667	1.99561403508772	2.02393553498464	0.01	0.01	0.01	Os01g0269000/Os08g0205900/Os04g0614500/Os03g0720300/Os01g0110400/Os03g0118800/Os04g0614600	7
