ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,term,Group,,
CC,GO:1990234,transferase complex,59/1435,352/12039,0.167613636,1.406202487,2.845316929,0.004024517,0.01,0.01,4342136/4344620/4349420/4324876/4346392/4328207/4349414/4343672/4337169/4350689/4342619/4337266/4340510/4330720/4331259/4333557/4323879/4327549/4352642/4339821/4340586/4336254/4344771/4331010/9266910/4348528/4339468/4324179/4352845/4325052/4338348/4324394/9271973/9266475/4326914/4348225/4332109/4336092/4341844/4327777/4331489/4352352/4340256/4337886/4333654/107275757/4352863/4344542/4340047/4337882/4334203/4341838/4325131/4337136/4326594/4338177/4333571/4332116/4332003,59,GO:1990234: transferase complex,Kac,,
CC,GO:0005730,nucleolus,47/1435,169/12039,0.278106509,2.333187638,6.420628339,1.37E-08,3.63E-06,3.33E-06,4336833/4332742/4352218/4351627/4325215/4333273/4326580/4325442/4343013/4324413/4334469/4346414/9270402/4332852/4333384/4334825/4327549/4334430/4343819/4332800/4332567/4343071/4328001/4324449/4327680/4347787/4347950/4331462/4328227/4351115/4335928/4346824/4333983/4334691/4331644/4345577/4340256/4352780/4341106/4323936/4325333/4344685/4329847/4337783/4327851/4331393/4348775,47,GO:0005730: nucleolus,Kac,,
CC,GO:0005694,chromosome,42/1435,253/12039,0.166007905,1.392731129,2.322419282,0.015982584,0.01,0.01,4338016/4336205/4331236/4349420/4339168/4343243/4350689/4342619/4337266/4336555/4352514/4339460/4323879/4340275/107277287/4329757/4336311/4339215/4337994/4336010/4339821/4350754/4324449/107277010/4327680/4348528/4339468/4349499/4325052/4340137/4346464/4325108/4331489/4350526/4352780/4337886/4352826/4344685/4351098/4340047/4334203/4325354,42,GO:0005694: chromosome,Kac,,
CC,GO:0000139,Golgi membrane,41/1435,269/12039,0.152416357,1.278704195,1.700590213,0.01,0.01,0.01,4343755/4340097/4332508/4329416/4350824/4348639/4326079/4332496/4329205/4347671/4351648/4340943/4351508/4325373/4334823/9267636/4344307/4333340/4326082/4343553/107276327/4328093/4349939/4343306/4349771/4324349/4347829/4341571/4331019/4342665/9271197/4334604/4340374/4332727/4329636/4347234/4325410/4333468/4346277/4325058/4325047,41,GO:0000139: Golgi membrane,Kac,,
CC,GO:0031982,vesicle,39/1435,264/12039,0.147727273,1.239364903,1.446605923,0.01,0.01,0.01,4352271/9266052/4337342/4340097/4326480/4333331/4345628/9267670/4348891/4341074/4351648/4351205/4331047/4333120/4334079/4349939/4348999/4347829/4335642/4343420/4332109/4340037/4339486/4331019/4342665/4332314/4324247/4342150/107275261/4329636/4349288/4331193/4350961/4334042/4351857/4346277/4335134/4339517/4323889,39,GO:0031982: vesicle,Kac,,
CC,GO:0031410,cytoplasmic vesicle,36/1435,253/12039,0.14229249,1.193769539,1.14585802,0.01,0.01,0.01,4352271/9266052/4337342/4340097/4333331/4345628/9267670/4348891/4351648/4351205/4331047/4333120/4334079/4349939/4348999/4347829/4335642/4343420/4332109/4340037/4339486/4331019/4342665/4332314/4324247/4342150/107275261/4329636/4349288/4331193/4350961/4334042/4346277/4335134/4339517/4323889,36,GO:0031410: cytoplasmic vesicle,Kac,,
CC,GO:0097708,intracellular vesicle,36/1435,253/12039,0.14229249,1.193769539,1.14585802,0.01,0.01,0.01,4352271/9266052/4337342/4340097/4333331/4345628/9267670/4348891/4351648/4351205/4331047/4333120/4334079/4349939/4348999/4347829/4335642/4343420/4332109/4340037/4339486/4331019/4342665/4332314/4324247/4342150/107275261/4329636/4349288/4331193/4350961/4334042/4346277/4335134/4339517/4323889,36,GO:0097708: intracellular vesicle,Kac,,
CC,GO:0099080,supramolecular complex,35/1435,181/12039,0.193370166,1.622288101,3.103082499,0.002478632,0.01,0.01,4345683/4325546/4340644/4336312/4343694/4350784/4349436/4349053/4331006/4343243/9271005/4333598/4325594/4334272/4341074/4330897/4330906/4337843/4352926/4332316/4330670/4331698/4329653/4340345/4336693/4339566/4337457/4348961/4339353/4347066/4340825/4333966/4337322/4346402/4330568,35,GO:0099080: supramolecular complex,Kac,,
MF,GO:0140640,catalytic activity, acting on a nucleic acid,108/1606,487/12936,0.221765914,1.786278867,6.659089966,6.35E-10,3.74E-07,3.35E-07,4345683/4343201/4352435/4334609/4347617/9267691/4346392/4326378/4348566/4348464/4352218/4334111/4325353/4349053/4331006/4333273/4326580/4337169/4338176/4344011/4326190/4324438/4342480/4325801/4348610/4324413/4352514/4334469/4331979/4327735/4337589/4337089/4345200/4349924/4340604/4346920/4333747/4324952/4352769/4343292/4340671/4327549/9267698/9268973/4330908/4339215/4333345/4331931/4341640/4334353/4324772/4350754/4338140/4336254/4334649/4327899/4341594/4340217/4350329/4330670/4348211/4347787/4331698/4325052/4332018/4332131/4325167/4325653/4339099/4330846/4336092/4344820/4333983/4337996/4330281/9270411/4338212/4334691/4331489/4345577/4335025/4328255/4350526/4343339/4342624/4325717/4339847/4352826/4344685/4349044/4337457/4351098/4342049/4349131/4347066/4352863/4351155/4348562/4344542/4346941/4343276/4334089/4333571/4330426/4337830/4326441/9266147/4331511,108,GO:0140640: catalytic activity, acting on a nucleic acid,Kac
MF,GO:0017111,ribonucleoside triphosphate phosphatase activity,106/1606,489/12936,0.216768916,1.746029078,6.331678753,3.50E-09,6.89E-07,6.16E-07,4325480/4325546/4340644/4331813/4331812/4331811/4331810/4329338/4332742/4341492/4341796/4324151/4326378/4352339/4352218/4325312/4334695/4334807/4326617/4349436/4349053/4327502/4333273/4326580/4338176/4344011/4326190/9270837/4343414/4324413/4352514/4327122/4342077/4334469/4345497/4350030/4348639/4337589/4329520/4334272/4339683/4339012/4352769/4351208/4334598/4328674/4346998/4327388/4330897/4341965/4350530/4331674/4331645/4348731/4339821/4335637/4350754/4331984/4339984/4334649/4341405/4330159/4344373/4332553/4335633/4342783/4332316/4346344/4337257/4352664/4332708/4341075/4339570/9267724/4332413/4340563/4344250/4333161/4329653/4339099/4337574/4333983/4339566/4345577/4350788/4350526/4323896/4339274/4324268/4345498/4333339/4349303/4337802/4342113/4326314/4332420/4324720/4346941/4338525/4337322/4334089/4340195/4339748/4334423/4326208/4339343,106,GO:0017111: ribonucleoside triphosphate phosphatase activity,Kac,,
MF,GO:0008270,zinc ion binding,80/1606,465/12936,0.172043011,1.3857711,3.189675912,0.001376038,0.031225479,0.027910731,4340242/4333920/4327944/4346989/4339168/4334351/4346856/4324713/4327502/4345439/4351567/4343013/4340100/4336555/4347019/4329846/4350793/4344293/4330014/4333915/4350055/4332334/4324952/107277287/4343292/4328102/4329933/4338868/4340481/4336155/4343942/4334928/4341640/4334649/4334344/4330159/4334962/4336993/4338069/4341585/4348211/107277010/4334048/4341997/4330574/4327736/4341804/4346102/9268542/4347503/4335223/4338039/4343653/107277417/4343903/4325578/4340812/4340227/4340156/4328737/4333882/9270597/4326895/4352539/4351669/4328660/4347279/4347952/4336535/4352833/4345452/4352863/4351584/4324773/4350456/4342371/4343610/4328720/4328717/9266147,80,GO:0008270: zinc ion binding,Kac,,
MF,GO:0016887,ATP hydrolysis activity,79/1606,327/12936,0.241590214,1.945959532,6.522996478,2.45E-09,6.89E-07,6.16E-07,4325480/4329338/4341796/4324151/4326378/4352339/4352218/4334807/4326617/4349053/4327502/4333273/4326580/4338176/4344011/4326190/4324413/4352514/4327122/4342077/4334469/4345497/4348639/4337589/4329520/4334272/4339012/4352769/4351208/4334598/4328674/4346998/4327388/4330897/4341965/4350530/4331674/4331645/4348731/4339821/4350754/4331984/4339984/4334649/4341405/4330159/4344373/4332553/4342783/4346344/4337257/4352664/4332708/4341075/4339570/9267724/4332413/4340563/4344250/4333161/4339099/4337574/4333983/4345577/4350526/4323896/4324268/4345498/4333339/4337802/4342113/4332420/4324720/4346941/4337322/4334089/4340195/4339748/4339343,79,GO:0016887: ATP hydrolysis activity,Kac,,
MF,GO:0140098,catalytic activity, acting on RNA,75/1606,334/12936,0.224550898,1.808711344,5.637519579,1.63E-07,2.40E-05,2.15E-05,4345683/4343201/4352435/4334609/9267691/4346392/4348566/4348464/4352218/4334111/4349053/4331006/4333273/4326580/4337169/4344011/4326190/4324438/4342480/4325801/4348610/4324413/4334469/4331979/4327735/4337589/4345200/4349924/4346920/4333747/4324952/4352769/4343292/4327549/9267698/4330908/4333345/4331931/4334353/4336254/4334649/4340217/4348211/4347787/4331698/4325052/4332018/4325167/4325653/4330846/4336092/4333983/4337996/4330281/9270411/4345577/4335025/4328255/4343339/4342624/4325717/4339847/4349044/4337457/4342049/4347066/4352863/4351155/4348562/4346941/4334089/4333571/4337830/9266147/4331511,75,GO:0140098: catalytic activity, acting on RNA,Kac
MF,GO:0008233,peptidase activity,68/1606,481/12936,0.141372141,1.13872355,1.167325298,0.01,0.01,0.01,4341884/4332040/4328982/9270258/4341796/4327946/4326617/4346856/4352242/4327502/107276017/4332921/107275868/4328965/4340100/4335869/4326550/4347019/4330237/4336657/4340065/4330861/107275854/4335455/4328102/4332808/4341509/4335507/4335479/4334387/4328060/4339651/4330159/4332553/4332762/4326588/4330617/4342685/4329350/4346107/4340563/4326534/4346102/4326432/4348153/4347503/4337229/4337582/4333085/4347361/4342150/4323845/4347180/4328737/4346292/4331193/4335833/4337022/4333985/4342113/9268615/4327852/4330073/4327953/4349163/4328857/4336033/107276109,68,GO:0008233: peptidase activity,Kac,,
MF,GO:0003729,mRNA binding,58/1606,360/12936,0.161111111,1.297716895,2.156872628,0.021671216,0.01,0.01,4342554/4333045/4337577/4333869/4333233/4348938/4349053/4330567/4329341/4333273/4326580/4329949/4325442/4336300/4338667/4340846/4340159/4350793/4329919/4327403/4346201/4344860/4326038/4333282/9270146/4337064/4332656/4325508/4329895/4326564/4351978/4347460/4334962/4330670/4332426/4334048/4346283/4344715/4343809/4334103/4339634/4335928/4333983/4331683/4345577/4351445/4337585/4336891/4337182/4349288/4334840/4324682/4338729/4346059/4331547/4343835/4332428/4332626,58,GO:0003729: mRNA binding,Kac,,
MF,GO:0016798,hydrolase activity, acting on glycosyl bonds,56/1606,366/12936,0.153005464,1.232427577,1.698249872,0.01,0.01,0.01,4345019/4331977/4337384/9267841/4330667/4348080/9271949/4341833/4323970/4342117/4347903/4338088/4348315/4336145/4334116/4329561/4350319/4345814/4337166/4328252/4333153/4348392/4339457/4347611/4335790/4341640/4352486/4334114/4350617/4325976/4341243/4341242/4344290/4349683/4351401/4339437/4326534/4337104/4341514/4329532/4325690/4345996/4350320/4341515/4333842/4324837/4332724/4334113/4338201/4348988/4328018/4349687/4338611/4329537/4351194/4324001,56,GO:0016798: hydrolase activity, acting on glycosyl bonds,Kac
MF,GO:0004553,hydrolase activity, hydrolyzing O-glycosyl compounds,53/1606,316/12936,0.167721519,1.350962372,2.378019725,0.01332773,0.01,0.01,4345019/4331977/4337384/9267841/4330667/4348080/9271949/4341833/4323970/4342117/4347903/4338088/4348315/4336145/4334116/4329561/4350319/4345814/4337166/4328252/4348392/4339457/4347611/4335790/4352486/4334114/4350617/4325976/4341243/4341242/4344290/4349683/4351401/4339437/4337104/4341514/4329532/4325690/4345996/4350320/4341515/4333842/4324837/4332724/4334113/4338201/4348988/4328018/4349687/4338611/4329537/4351194/4324001,53,GO:0004553: hydrolase activity, hydrolyzing O-glycosyl compounds,Kac
MF,GO:0022804,active transmembrane transporter activity,51/1606,399/12936,0.127819549,1.029560202,0.225807344,0.01,0.01,0.01,4333291/4340095/4343383/4343600/9269190/4324151/4327728/107275739/4342689/4327122/4333528/4345497/4327412/4348639/4331044/4343722/4330845/4346998/4341965/4350530/4331674/4327660/4331984/4339984/4330539/4341405/4342783/4346344/4337257/4352664/9267724/4352928/4348245/4337574/4331935/4323896/4329977/4336015/4345498/4349969/4348274/4327833/4324720/4341339/4329579/4328999/4338116/4340195/4328470/4325917/4327730,51,GO:0022804: active transmembrane transporter activity,Kac,,
BP,GO:0044283,small molecule biosynthetic process,80/1342,474/11422,0.168776371,1.436485628,3.541520685,0.000464892,0.01,0.01,4327738/4343906/4331598/4348636/4335627/4328435/4341792/4332547/4339521/4352495/4324773/4349718/107275641/4340579/4332607/4352498/4339684/4345328/4330037/4352147/4334049/9270356/4351460/4349745/4344382/4350083/4339289/4330451/4346642/4328992/4329432/4343443/4341584/4334794/4326358/4341305/4334640/4345690/4325071/4337355/4336983/4348632/4339583/4333613/4344361/4348268/4346054/4336384/4333896/4350591/4351464/4338768/4350817/4332108/4352832/4331417/4348450/4345286/4350456/4332274/9270715/4333072/107275880/4325027/4341713/4337165/4333823/4330104/4338358/4347311/4332095/4334233/4331528/4352747/4329509/4332434/4328508/4337286/4333719/4325272,80,GO:0044283: small molecule biosynthetic process,Kcr,,
BP,GO:0051649,establishment of localization in cell,65/1342,477/11422,0.136268344,1.159804041,1.300879655,0.01,0.01,0.01,9270655/4330379/4345847/4344467/4331721/4352428/4337014/4331680/4335642/4346811/4332042/4346809/4325047/4338016/4338276/4331645/4333825/4337419/4332330/4340037/4327028/4333886/4337342/4338497/4340257/4338463/4334998/4332834/4337006/4329170/4352271/4339486/4348915/4352566/4348999/4334335/4334173/4343696/4324088/4333035/4346088/4334849/4351956/4326915/4343605/4337189/4331353/4341611/9268894/9266663/4332118/4338268/4351323/9269169/4333661/4337505/9272347/4341266/4339274/4333909/4323876/4346691/9267670/4324745/9266052,65,GO:0051649: establishment of localization in cell,Kcr,,
BP,GO:0032787,monocarboxylic acid metabolic process,63/1342,304/11422,0.207236842,1.763829516,4.925132866,4.00E-06,0.005758576,0.005560383,4327738/4349774/4343906/4326769/4335627/4328435/4326503/4341792/4332547/4338007/4341070/4352495/107275641/4340579/4326788/4352498/4339684/4338276/4326547/4330037/4339846/4334049/4329892/4330183/4339289/4337006/4330451/4328992/4347022/4329432/4324666/4336983/4348632/4338583/4333694/4343113/4336384/4324491/4350548/4350817/4331779/4327968/4336637/4348450/4345286/4324825/4342654/4341069/107275880/4336928/4325027/4337165/4333823/4330104/4338358/4341801/4347311/4334233/4344564/4325272/4334003/4328997/4337406,63,GO:0032787: monocarboxylic acid metabolic process,Kcr,,
BP,GO:0055085,transmembrane transport,63/1342,446/11422,0.141255605,1.202251509,1.589773333,0.01,0.01,0.01,4327122/4336319/4337945/4346111/4349462/4346811/4332042/4346809/4338276/4334833/4348651/4346116/4327028/4337433/4347809/4350361/4325287/4328798/4332049/107276021/4345334/4337006/4339082/4330700/4329844/4337235/4348915/4352524/4328874/4334854/4331674/107275756/4336755/4336250/4338040/4331585/4338277/4341965/4352910/4349429/4336655/4336684/4341611/9268894/4350285/4328864/4337643/4342862/4340195/4347248/4336377/9272347/4344391/4351065/4331797/4339274/4340924/4351717/4339080/4337257/4341285/4325272/4337604,63,GO:0055085: transmembrane transport,Kcr,,
BP,GO:0019637,organophosphate metabolic process,62/1342,432/11422,0.143518519,1.221511564,1.712527238,0.01,0.01,0.01,4331392/4331292/4346680/4335559/4344468/4341467/4337509/4350084/4331746/4348512/4351721/4346083/4328220/9267826/4326547/4327964/4332721/4347887/4339242/4332969/4325585/4347383/4331418/4332194/4347022/4339882/4345756/4324666/4325071/4338791/4345366/4343113/4344386/4339200/4338768/4327968/4336637/4325416/4348450/4326817/4345898/4338034/4342654/4332431/4339554/4325027/107276153/4347654/107276788/9270575/4335862/9272561/4341801/4344972/4330515/4344470/4329509/4340951/4337286/4334003/4332501/4331059,62,GO:0019637: organophosphate metabolic process,Kcr,,
BP,GO:0046907,intracellular transport,62/1342,462/11422,0.134199134,1.142192631,1.13838944,0.01,0.01,0.01,9270655/4330379/4345847/4344467/4331721/4352428/4337014/4331680/4335642/4346811/4332042/4346809/4325047/4338276/4331645/4333825/4337419/4332330/4340037/4327028/4333886/4337342/4338497/4340257/4338463/4334998/4332834/4337006/4329170/4352271/4339486/4348915/4352566/4348999/4334335/4334173/4343696/4324088/4346088/4334849/4326915/4343605/4337189/4331353/4341611/9268894/9266663/4332118/4338268/4351323/9269169/4333661/4337505/9272347/4341266/4339274/4333909/4323876/4346691/9267670/4324745/9266052,62,GO:0046907: intracellular transport,Kcr,,
BP,GO:0016053,organic acid biosynthetic process,61/1342,350/11422,0.174285714,1.483376623,3.35123347,0.000948904,0.01,0.01,4327738/4343906/4348636/4335627/4332547/4339521/4352495/4324773/107275641/4340579/4332607/4352498/4339684/4345328/4330037/4352147/4334049/4351460/4349745/4350083/4339289/4330451/4346642/4328992/4329432/4341584/4334794/4326358/4341305/4334640/4345690/4336983/4348632/4339583/4333613/4344361/4346054/4336384/4333896/4351464/4350817/4332108/4352832/4331417/4348450/4345286/4350456/9270715/107275880/4341713/4337165/4333823/4330104/4338358/4332095/4334233/4331528/4352747/4332434/4328508/4325272,61,GO:0016053: organic acid biosynthetic process,Kcr,,
BP,GO:0046394,carboxylic acid biosynthetic process,61/1342,350/11422,0.174285714,1.483376623,3.35123347,0.000948904,0.01,0.01,4327738/4343906/4348636/4335627/4332547/4339521/4352495/4324773/107275641/4340579/4332607/4352498/4339684/4345328/4330037/4352147/4334049/4351460/4349745/4350083/4339289/4330451/4346642/4328992/4329432/4341584/4334794/4326358/4341305/4334640/4345690/4336983/4348632/4339583/4333613/4344361/4346054/4336384/4333896/4351464/4350817/4332108/4352832/4331417/4348450/4345286/4350456/9270715/107275880/4341713/4337165/4333823/4330104/4338358/4332095/4334233/4331528/4352747/4332434/4328508/4325272,61,GO:0046394: carboxylic acid biosynthetic process,Kcr,,
BP,GO:0005976,polysaccharide metabolic process,58/1342,372/11422,0.155913978,1.327011522,2.33965296,0.014315245,0.01,0.01,4350319/4340018/4332569/4331598/4348392/4348365/107276048/4325131/4349771/4324641/4339718/4337139/4341389/4330709/4329416/4337384/4348080/4347903/4326594/4334710/4350320/4350824/4325690/4351267/4334574/4337170/4339732/4348853/4334515/4351401/4345284/4342364/4331259/4347918/107276216/4349011/4337222/4324962/4344369/9269982/4341833/4352627/4349505/4324349/4340679/4324842/4329045/4344290/9266490/4345019/9269298/4325514/9269523/4333759/4337056/4341941/4337958/4338720,58,GO:0005976: polysaccharide metabolic process,Kcr,,
