ONTOLOGY	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	term
CC	GO:0005874	microtubule	24/1447	127/12039	0.188976377952756	1.5722782406173	2.39628903456707	0.0158413738031569	0.01	0.01	4330669/4333349/4346402/4334272/4330906/4345610/9270619/4332316/9268593/4343605/4330897/4351860/4328997/4332061/4330654/4349436/4342193/4333899/4336528/4329110/4346150/4346147/9270703/4350197	24	GO:0005874: microtubule
CC	GO:0099081	supramolecular polymer	24/1447	128/12039	0.1875	1.55999481686247	2.35416733194864	0.0173468542994786	0.01	0.01	4330669/4333349/4346402/4334272/4330906/4345610/9270619/4332316/9268593/4343605/4330897/4351860/4328997/4332061/4330654/4349436/4342193/4333899/4336528/4329110/4346150/4346147/9270703/4350197	24	GO:0099081: supramolecular polymer
CC	GO:0099512	supramolecular fiber	24/1447	128/12039	0.1875	1.55999481686247	2.35416733194864	0.0173468542994786	0.01	0.01	4330669/4333349/4346402/4334272/4330906/4345610/9270619/4332316/9268593/4343605/4330897/4351860/4328997/4332061/4330654/4349436/4342193/4333899/4336528/4329110/4346150/4346147/9270703/4350197	24	GO:0099512: supramolecular fiber
MF	GO:0017111	ribonucleoside triphosphate phosphatase activity	125/1705	489/12936	0.255623721881391	1.93944191569365	8.25141086928203	4.63245075923273e-14	2.73777839870655e-11	2.27721526795967e-11	4327502/4330669/4348056/4333349/4348993/4348493/4339748/4334490/4334272/4339796/4338176/4348639/4342077/4341965/4331016/4348731/4331645/4342113/4334800/4347924/9270304/4336600/4326410/9267997/4325393/4337834/107275309/4325020/4337802/4341405/4346344/4351828/4339322/4352339/4336912/4350530/4341778/4337006/4345610/4331585/4324268/4344716/4341266/4350873/4349053/4332316/9267495/9267125/4323896/4345893/4347865/4335633/4330897/4330390/4350030/4334089/4337257/4350754/4350322/4340195/4331984/4339450/4342063/4347615/4344016/4331853/4341075/4341310/4334598/4329031/4342062/4338568/4337173/4324720/4351208/9269254/4341219/4347642/4352664/4349436/4324856/4334534/4328642/4352748/4351657/4331680/4325387/4337647/4331379/4329576/4346343/4342193/4345883/4336625/4342783/4335702/4350096/4341796/107275748/4352195/4327743/4333899/4339012/4336528/4339627/4328674/4341448/4333026/4324623/4352769/9270703/4345847/4332449/4351224/4332739/4332413/4346744/4344232/4339683/4337643/4339340/4351875/4334807/4334590/4329696	125	GO:0017111: ribonucleoside triphosphate phosphatase activity
MF	GO:0016887	ATP hydrolysis activity	91/1705	327/12936	0.2782874617737	2.11139390352175	7.93117912875438	9.15270032801117e-13	2.7046229469273e-10	2.24963739641117e-10	4327502/4333349/4348993/4339748/4334490/4334272/4338176/4348639/4342077/4341965/4331016/4348731/4331645/4342113/4347924/9270304/4336600/4326410/9267997/4325393/107275309/4325020/4337802/4341405/4346344/4351828/4352339/4336912/4350530/4341778/4337006/4331585/4324268/4344716/4350873/4349053/9267125/4323896/4345893/4347865/4330897/4330390/4334089/4337257/4350754/4340195/4331984/4347615/4331853/4341075/4341310/4334598/4329031/4342062/4338568/4337173/4324720/4351208/9269254/4341219/4352664/4328642/4331680/4337647/4331379/4329576/4346343/4342193/4345883/4336625/4342783/4335702/4350096/4341796/107275748/4352195/4339012/4336528/4328674/4341448/4352769/9270703/4332449/4351224/4332739/4332413/4337643/4339340/4351875/4334807/4329696	91	GO:0016887: ATP hydrolysis activity
MF	GO:0140640	catalytic activity, acting on a nucleic acid	91/1705	487/12936	0.186858316221766	1.4177121282374	3.66109102552714	0.000293989589954299	0.00694991390651963	0.00578076372668032	4332859/4331489/4338176/4339535/4333345/4331016/4331740/4347787/4330670/4332999/4348464/4325745/4325393/4335708/107276332/4349811/9270244/4349044/4348211/4335025/4352065/4340604/4342049/4344818/4324772/4332018/4344716/4329095/4350329/4344459/4330741/4349053/9267125/4344270/4340375/4344031/4348610/4325653/4325717/4352068/4347343/4337089/4330908/4347482/4334089/4350754/4352826/4341695/4337788/4326441/4339215/4330426/9267691/4331253/4334691/4345448/4327899/4338371/4346491/4341749/4326574/4340671/4335699/4341283/4338140/4327368/4336092/4333747/4328436/4326401/4346920/9266147/4343339/4334449/4337169/4331680/4328994/4347368/4323853/4334353/4345200/4328050/9270411/4331931/4352769/107277295/4334435/4333571/4327735/4351709/4326034	91	GO:0140640: catalytic activity, acting on a nucleic acid
MF	GO:0003729	mRNA binding	79/1705	360/12936	0.219444444444444	1.66494623655914	4.98543103564239	2.35586567127315e-06	0.000154701845746937	0.000128677107425095	4338729/9270146/4330066/4331547/4337585/4330670/4343516/4338514/4326654/4336331/4348934/4336423/4347128/4333283/4334996/4339664/4328390/4341860/4347232/4326977/4337883/4343261/4325314/4346059/4340846/4336550/4336287/4332428/4349053/4325508/4330529/4324378/4343774/4343757/4333505/4327511/4326538/4328997/4332426/4329895/4329919/4337577/4351246/4334962/4338818/4336174/9271831/4352587/4333282/4351445/4334557/4348438/4331788/4343740/4324682/4347990/4339634/4331680/4348759/4342510/4337064/4342219/4342835/4332197/4343368/4349406/4345502/4352441/4324863/4332626/4329958/4328201/4344232/4329341/4343835/4344860/4352041/4337559/4338667	79	GO:0003729: mRNA binding
MF	GO:0022804	active transmembrane transporter activity	71/1705	399/12936	0.177944862155388	1.35008488964346	2.76757370477823	0.00467210983942491	0.01	0.0417583788518935	4341421/4348993/4327491/4348639/4341965/4326410/9269190/4352332/107275309/4341405/4346344/4341751/4328470/4349727/4351444/4325928/4329844/4336912/4350530/4329936/4341778/4331585/4352800/4337176/4343722/4323896/4329579/4330390/4328874/4337257/4340195/4331984/4331945/4331853/4332438/4336717/4341339/4327166/4344918/4337173/4324720/9269254/4340095/4348218/9272111/4352664/4348245/4327730/4347248/4337647/4330539/4345883/4336625/4342783/9270824/4332162/4339137/4331934/4329741/4332449/4332739/4340163/4337618/4324187/4339122/4337643/4343728/4331044/4344527/4340298/4341645	71	GO:0022804: active transmembrane transporter activity
MF	GO:0140098	catalytic activity, acting on RNA	58/1705	334/12936	0.173652694610778	1.31751979911145	2.29065931071412	0.0159965836709144	0.01	0.01	4332859/4339535/4333345/4331740/4347787/4348464/4335708/107276332/4349811/4349044/4348211/4335025/4352065/4342049/4344818/4332018/4344716/4329095/4330741/4349053/4344270/4340375/4348610/4325653/4325717/4347343/4330908/4334089/4341695/9267691/4331253/4345448/4338371/4346491/4335699/4341283/4336092/4333747/4328436/4326401/4346920/9266147/4343339/4334449/4337169/4331680/4328994/4347368/4334353/4345200/9270411/4331931/4352769/107277295/4333571/4327735/4351709/4326034	58	GO:0140098: catalytic activity, acting on RNA
MF	GO:0016798	hydrolase activity, acting on glycosyl bonds	58/1705	366/12936	0.158469945355191	1.202326811211	1.52989820566149	0.01	0.01	0.01	4348876/4343804/4340890/4329561/4332844/4329920/4347165/4330402/4341243/4341242/4334827/4348337/4327684/4339762/4324641/4342703/9269962/4350617/4335789/107275650/4345814/4334391/4329626/4325690/4348080/4328018/9266387/4340010/9267841/4338211/4351127/4331577/4351177/4341833/4346079/4349498/4351198/4351194/4333841/4323970/4345996/4336142/4334029/4342117/4339868/4333842/4338088/4346582/4334113/9271116/4330874/4342055/4350320/4351192/4338683/4341941/4326520/4332289	58	GO:0016798: hydrolase activity, acting on glycosyl bonds
MF	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds	55/1705	316/12936	0.174050632911392	1.32053899550837	2.24766162106325	0.0178292900071715	0.01	0.01	4348876/4343804/4340890/4329561/4332844/4329920/4347165/4330402/4341243/4341242/4334827/4348337/4339762/4324641/4342703/9269962/4350617/4335789/4345814/4334391/4329626/4325690/4348080/4328018/9266387/4340010/9267841/4338211/4351127/4331577/4351177/4341833/4346079/4349498/4351198/4351194/4333841/4323970/4345996/4336142/4334029/4342117/4339868/4333842/4338088/4346582/4334113/9271116/4330874/4342055/4350320/4338683/4341941/4326520/4332289	55	GO:0004553: hydrolase activity, hydrolyzing O-glycosyl compounds
MF	GO:0016829	lyase activity	52/1705	304/12936	0.171052631578947	1.29779286926995	2.04715733648084	0.0279623861646062	0.01	0.01	4330034/107276201/4325777/4332519/4330881/4344382/4331547/4346906/4327367/9266343/4336415/4340604/4332253/4348176/4346274/4329234/4344612/4326883/4348268/4332642/4328997/4339066/4349897/4325444/4333719/4330036/4324491/4341749/4336624/4332341/4326583/4332596/4352298/9271676/4330040/4335756/4335973/4347717/4326769/4347752/4331117/4325739/4325198/4326503/4332296/4341389/4340042/4334425/4332356/4325157/4337930/4346318	52	GO:0016829: lyase activity
MF	GO:0015075	monoatomic ion transmembrane transporter activity	51/1705	324/12936	0.157407407407407	1.19426523297491	1.37978621551557	0.01	0.01	0.01	4330967/4348639/4346918/4341965/4326820/4345939/4349511/4336927/4341751/4328470/4331551/4336912/4350530/4341778/4325576/9269174/4337176/4332431/4341611/4329579/4328874/4341854/4337257/4334032/4331984/4331853/4339301/4333667/4334833/4341339/4327166/4338878/4341660/4340095/4348218/9272111/4352664/4343366/4337647/4345883/4336625/4342783/4332162/4333702/4342074/4331934/4339122/4331044/4335601/4340298/4341645	51	GO:0015075: monoatomic ion transmembrane transporter activity
