category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Genetic Information Processing	Folding, sorting and degradation	dosa03018	RNA degradation	24/728	86/3900	0.27906976744186	1.49501661129568	2.22358825799601	0.0222745269149912	0.01	0.01	Os10g0405600/Os03g0166800/Os04g0504800/Os02g0102900/Os08g0439000/Os03g0248600/Os03g0278500/Os10g0503700/Os10g0167300/Os10g0412100/Os10g0462900/Os02g0774300/Os12g0277500/Os05g0540300/Os03g0143400/Os01g0191700/Os10g0548200/Os03g0113700/Os01g0209500/Os05g0194900/Os06g0136600/Os03g0266200/Os04g0613400/Os07g0565200	24
Metabolism	Amino acid metabolism	dosa00260	Glycine, serine and threonine metabolism	21/728	54/3900	0.388888888888889	2.08333333333333	3.83998974143046	0.0003804635846565	0.00580819073901204	0.00481408266805805	Os08g0342400/Os06g0611900/Os01g0711400/Os08g0424500/Os11g0455800/Os03g0330200/Os01g0874900/Os01g0927900/Os08g0135900/Os04g0107200/Os05g0429000/Os01g0337900/Os03g0171900/Os03g0338000/Os04g0650800/Os01g0817700/Os04g0555900/Os07g0300900/Os09g0294000/Os03g0797000/Os08g0502700	21
Metabolism	Energy metabolism	dosa00710	Carbon fixation by Calvin cycle	20/728	64/3900	0.3125	1.67410714285714	2.60468575343585	0.0101684062773737	0.01	0.01	Os09g0535000/Os04g0459500/Os08g0154300/Os06g0133800/Os04g0486600/Os03g0773800/Os12g0632700/Os01g0723400/Os03g0432100/Os10g0204400/Os06g0548000/Os11g0171300/Os08g0126300/Os07g0630800/Os08g0562100/Os01g0188400/Os03g0129300/Os01g0743500/Os05g0186300/Os10g0390500	20
Metabolism	Carbohydrate metabolism	dosa00630	Glyoxylate and dicarboxylate metabolism	20/728	66/3900	0.303030303030303	1.62337662337662	2.44665167236141	0.0145251713171413	0.01	0.01	Os11g0538900/Os03g0136900/Os06g0611900/Os01g0711400/Os02g0232400/Os11g0455800/Os09g0261300/Os03g0773800/Os01g0874900/Os12g0632700/Os07g0152900/Os04g0107200/Os05g0429000/Os01g0337900/Os07g0658400/Os07g0630800/Os06g0727200/Os03g0223400/Os06g0486800/Os08g0502700	20
Metabolism	Amino acid metabolism	dosa00250	Alanine, aspartate and glutamate metabolism	18/728	43/3900	0.418604651162791	2.24252491694352	3.92455331091084	0.000342468245216796	0.00580819073901204	0.00481408266805805	Os01g0558200/Os06g0265000/Os08g0248800/Os03g0313600/Os06g0548000/Os03g0171900/Os02g0797500/Os03g0338000/Os12g0235800/Os03g0794500/Os04g0614600/Os03g0223400/Os03g0305500/Os04g0447400/Os10g0390500/Os02g0134400/Os08g0502700/Os08g0205900	18
Metabolism	Carbohydrate metabolism	dosa00020	Citrate cycle (TCA cycle)	18/728	50/3900	0.36	1.92857142857143	3.16552444766136	0.00274290883781265	0.0248821016001576	0.0206233747203958	Os07g0134800/Os01g0300200/Os11g0538900/Os03g0136900/Os02g0232400/Os02g0621700/Os12g0616900/Os03g0773800/Os07g0410100/Os12g0632700/Os10g0204400/Os01g0337900/Os03g0645100/Os09g0509200/Os01g0654500/Os07g0630800/Os04g0508200/Os06g0246500	18
Metabolism	Carbohydrate metabolism	dosa00052	Galactose metabolism	17/728	44/3900	0.386363636363636	2.06980519480519	3.41852095172069	0.00147521262550416	0.017032000312639	0.0141168672297049	Os02g0534400/Os01g0742500/Os10g0405600/Os06g0172800/Os09g0526700/Os07g0209100/Os08g0439000/Os05g0595100/Os07g0197100/Os03g0712700/Os09g0323000/Os09g0553200/Os06g0676700/Os01g0191700/Os03g0316200/Os05g0194900/Os06g0701200	17
Metabolism	Carbohydrate metabolism	dosa00053	Ascorbate and aldarate metabolism	17/728	46/3900	0.369565217391304	1.97981366459627	3.20215441323116	0.00259123702819315	0.0248821016001576	0.0206233747203958	Os01g0687800/Os01g0816700/Os11g0186200/Os05g0474600/Os04g0434800/Os04g0540600/Os06g0270900/Os12g0443500/Os12g0443600/Os03g0757900/Os04g0223300/Os02g0707100/Os03g0563100/Os06g0701200/Os11g0591100/Os10g0417600/Os12g0178100	17
Cellular Processes	Transport and catabolism	dosa04146	Peroxisome	17/728	70/3900	0.242857142857143	1.30102040816327	1.21736634513435	0.01	0.01	0.01	Os06g0103500/Os01g0159400/Os04g0617600/Os07g0152900/Os03g0265300/Os11g0558300/Os01g0654500/Os06g0727200/Os04g0508200/Os07g0665200/Os03g0429800/Os10g0457600/Os01g0107000/Os08g0502700/Os02g0226000/Os08g0557800/Os08g0561700	17
Metabolism	Lipid metabolism	dosa00071	Fatty acid degradation	15/728	43/3900	0.348837209302326	1.8687707641196	2.74403928022242	0.00842086483200059	0.01	0.01	Os01g0854800/Os06g0103500/Os01g0159400/Os11g0186200/Os11g0210600/Os02g0274100/Os02g0815500/Os04g0540600/Os11g0558300/Os06g0270900/Os11g0210300/Os03g0310400/Os01g0348600/Os10g0457600/Os07g0675000	15
