category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Environmental Information Processing	Signal transduction	dosa04016	MAPK signaling pathway	17/545	107/3900	0.158878504672897	1.13692874903541	0.578793592288439	0.01	0.01	0.01	Os02g0196600/Os04g0578000/Os06g0699400/Os02g0115700/Os02g0172600/Os05g0528000/Os01g0360200/Os03g0225100/Os03g0324300/Os05g0545300/Os05g0537400/Os06g0473200/Os07g0685700/Os03g0703400/Os07g0622000/Os03g0610900/Os05g0399700	17
Metabolism	Amino acid metabolism	dosa00260	Glycine, serine and threonine metabolism	16/545	54/3900	0.296296296296296	2.12028542303772	3.34079272675202	0.00208763868611221	0.01	0.01	Os07g0108300/Os05g0549700/Os01g0874900/Os08g0342400/Os04g0464200/Os09g0294000/Os03g0850400/Os04g0623800/Os03g0171900/Os11g0455800/Os06g0611900/Os01g0711400/Os06g0655100/Os08g0424500/Os04g0107200/Os01g0328700	16
Genetic Information Processing	Folding, sorting and degradation	dosa03050	Proteasome	14/545	56/3900	0.25	1.78899082568807	2.396640443447	0.0190359603951176	0.01	0.01	Os03g0695600/Os05g0490800/Os07g0435100/Os06g0192600/Os02g0784700/Os09g0326800/Os02g0146700/Os07g0691800/Os02g0205300/Os02g0199900/Os09g0541900/Os02g0803700/Os04g0444600/Os06g0153800	14
Metabolism	Energy metabolism	dosa00710	Carbon fixation by Calvin cycle	14/545	64/3900	0.21875	1.56536697247706	1.83784858628013	0.01	0.01	0.01	Os01g0188400/Os06g0668200/Os07g0108300/Os05g0186300/Os06g0133800/Os02g0601300/Os01g0723400/Os01g0866400/Os10g0204400/Os03g0129300/Os01g0905800/Os02g0244700/Os01g0829800/Os08g0126300	14
Metabolism	Global and overview maps	dosa01210	2-Oxocarboxylic acid metabolism	14/545	70/3900	0.2	1.43119266055046	1.46706582191931	0.01	0.01	0.01	Os07g0108300/Os02g0797500/Os12g0138900/Os09g0408600/Os04g0479200/Os03g0431200/Os03g0850400/Os04g0390000/Os11g0538900/Os05g0558400/Os03g0655700/Os03g0171900/Os03g0279400/Os01g0328700	14
Cellular Processes	Transport and catabolism	dosa04146	Peroxisome	13/545	70/3900	0.185714285714286	1.32896461336828	1.11925082462537	0.01	0.01	0.01	Os02g0115700/Os03g0167600/Os05g0275700/Os06g0103500/Os09g0567500/Os03g0583800/Os04g0617600/Os01g0730800/Os12g0168700/Os01g0107000/Os11g0169800/Os04g0623500/Os09g0314300	13
Metabolism	Lipid metabolism	dosa00071	Fatty acid degradation	12/545	43/3900	0.27906976744186	1.99701301472157	2.64934698967235	0.012199358371912	0.01	0.01	Os01g0348600/Os06g0103500/Os11g0210300/Os10g0159800/Os12g0168700/Os03g0189400/Os01g0854800/Os07g0621800/Os11g0169800/Os11g0210600/Os03g0310400/Os02g0274100	12
Metabolism	Amino acid metabolism	dosa00250	Alanine, aspartate and glutamate metabolism	12/545	43/3900	0.27906976744186	1.99701301472157	2.64934698967235	0.012199358371912	0.01	0.01	Os03g0794500/Os07g0108300/Os03g0597600/Os02g0797500/Os02g0134400/Os01g0558200/Os03g0720300/Os04g0614600/Os03g0712800/Os03g0171900/Os03g0223400/Os04g0447800	12
Metabolism	Global and overview maps	dosa01212	Fatty acid metabolism	12/545	63/3900	0.19047619047619	1.36304062909567	1.17073395031429	0.01	0.01	0.01	Os01g0919900/Os07g0616200/Os04g0379900/Os01g0348600/Os03g0297400/Os06g0103500/Os12g0168700/Os03g0101100/Os08g0327400/Os11g0169800/Os03g0310400/Os02g0274100	12
Metabolism	Metabolism of other amino acids	dosa00460	Cyanoamino acid metabolism	11/545	40/3900	0.275	1.96788990825688	2.47965300645233	0.0179986980122247	0.01	0.01	Os03g0212800/Os01g0764900/Os01g0874900/Os03g0597600/Os09g0511600/Os11g0455800/Os08g0509200/Os06g0656000/Os03g0703000/Os05g0449600/Os01g0508000	11
