ONTOLOGY	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	term
BP	GO:0044283	small molecule biosynthetic process	95/1459	474/11422	0.20042194092827	1.56903317976881	4.84221438372921	3.52365803977942e-06	0.000564176803924683	0.000502378848010657	4334381/4337347/4340142/4326964/4341792/4334048/4329007/4339521/4351707/4336402/4334794/4344164/9271676/4350083/4332547/4334290/4339645/4349718/4333898/4335227/107275880/4350817/4325444/4331528/4344382/4330711/4332596/4352498/4328147/4341770/4336982/4343906/4330451/4334841/4336983/4342614/4324516/4334460/4349120/4329733/4327819/4336384/4352833/4352832/4328603/4339204/4330627/4328435/4349660/4333033/4324844/4338768/4335048/4329509/4330036/4330657/4328143/4334640/4326266/4335576/4340093/4326680/4345056/4351381/4346355/4332563/4346642/4328992/4332286/4339684/4330474/4338868/4331836/4339583/4330437/107277365/4331075/4349897/4340691/4332519/4348636/4350816/4334049/4345690/4348072/4350591/4341844/4337230/4351460/4349745/4344928/4343348/4346596/4331161/4338861	95	GO:0044283: small molecule biosynthetic process
BP	GO:0055085	transmembrane transport	86/1459	446/11422	0.192825112107623	1.50956026764446	4.20073788724341	4.5968312327229e-05	0.00395062651302087	0.0035178886879524	4331281/4340195/4331559/4328577/4332497/4345334/4348866/4328468/4340312/4341965/4332012/4339137/4332333/4336377/4332389/4342859/4325014/4339274/4327491/4350361/4351384/4332901/4349512/4336250/4330845/4347248/4348651/4352800/4338277/4332049/4331585/4344527/4352640/4352910/4333289/4333593/4335955/9270824/4338880/4333291/4340653/4330539/4336365/4325287/4337635/4340431/9266924/4338881/4333560/4337645/4348915/4324258/4326284/4339644/4338353/4338051/4347808/9266695/4325457/4341421/4331674/107275756/4337643/4331853/4334854/9272586/4330288/4345272/4327022/4348864/4334137/4337945/4342783/4325143/4349516/4335983/4339755/4338867/4342621/4342752/4327687/4335932/4349429/4348368/4336655/9272347	86	GO:0055085: transmembrane transport
BP	GO:1901135	carbohydrate derivative metabolic process	79/1459	460/11422	0.171739130434783	1.3444855022797	2.88595538442733	0.00329028180687665	0.01	0.01	4343003/4341496/4329911/107276220/4336560/4337620/4342364/4332425/4334290/4341339/4331761/4331746/4329853/4335227/4335559/4335562/107280744/4350528/9270381/4337396/4352803/4330016/4343697/4341770/4334604/4342614/4332699/4339369/4344934/4344260/4338859/4344386/4339882/4347800/4331059/4338768/4328991/4350243/4347887/4340909/9266653/4339996/4344545/4338879/4333153/4344854/4333564/4345953/4340643/4338088/4339675/9267826/4345458/4332373/4331519/4351413/4349694/4331392/4327301/4347614/4330474/4338720/4334003/4343843/107277365/4345071/4349897/9269493/4348186/4326153/4347443/4347680/4339345/4334671/4340564/4324876/4338034/4337890/4348582	79	GO:1901135: carbohydrate derivative metabolic process
BP	GO:0019637	organophosphate metabolic process	78/1459	432/11422	0.180555555555556	1.41350620668647	3.35281589248465	0.000843319547763805	0.0270049659628365	0.0240469363444229	4343003/4341496/4329911/107276220/4325407/4346332/4351707/4344315/4334290/4341339/4331761/4331746/4335227/4335559/4335562/4336987/4350528/4345628/9270381/4337396/4352803/4330016/4341770/4341468/4342614/4334460/4340685/4339369/4341801/4344386/4346801/4337509/4339882/4331059/4338768/4349389/4349161/4329509/4328991/4350243/4347887/4340909/9266653/4339996/4344545/4337942/4338879/4344854/4333564/4345953/4341467/4340643/4339675/9267826/4331392/4327301/4347614/4345232/4330474/4334003/4343843/4345665/107277365/4345071/4349897/4348186/4326153/4347443/4347680/4334671/4328107/4337061/4338034/4331161/4337890/4348582/4344972/4348512	78	GO:0019637: organophosphate metabolic process
BP	GO:0032787	monocarboxylic acid metabolic process	77/1459	304/11422	0.253289473684211	1.9829145773962	6.64697246245401	1.35225569531693e-09	9.74300228475848e-07	8.67578785574388e-07	4343003/4334381/4326552/4341496/4329911/4341792/4328997/4347752/9271676/4329892/4332547/4334290/4339645/4349774/4344564/4334698/107275880/4350817/4326503/4331150/4349051/4350528/4352498/4352803/4336982/4343906/4330451/4336983/4327493/4324516/4330184/4336384/4341801/4328603/4339204/4330627/4337069/4328435/4345810/4348804/4324844/4330036/4327088/9266653/4332356/4344545/4348176/4340093/4326680/4345056/4333564/4332728/4331779/4341907/4344858/4328992/4336216/4339684/4334003/4331836/4338007/107277365/9268154/4349897/4340691/4326769/4326153/4334049/4348072/4332253/4340042/4326516/4337406/4344928/4346596/4346906/4338861	77	GO:0032787: monocarboxylic acid metabolic process
BP	GO:0006520	amino acid metabolic process	73/1459	332/11422	0.219879518072289	1.72135973640966	5.10434256548459	1.58762300452046e-06	0.000311481823142826	0.000277363192527927	4337347/4340142/4334917/4336750/4334048/4329098/9269289/4339521/4336402/4334794/4344164/9271676/4348564/4350083/4348464/4349718/4333898/4331528/4344382/4332596/4348211/4328147/4336982/4336983/4341516/4325932/4327819/4348562/4352833/4352832/4349660/4342610/4335048/4330036/4330657/4335977/4342480/4334405/4334640/4326266/4340008/4351381/4331779/9268115/4339675/4332563/4339847/4329560/4346642/4330354/4337996/4328992/4351413/4349694/4345605/4332286/4330474/4338868/4339583/4352435/4329101/4344637/4345071/4337051/4332519/4345690/4337230/4351460/4349745/4344928/4343348/4341252/4338861	73	GO:0006520: amino acid metabolic process
BP	GO:0016053	organic acid biosynthetic process	67/1459	350/11422	0.191428571428571	1.49862723979242	3.62561454374919	0.000383468738992726	0.0153494014691255	0.0136680816617583	4334381/4337347/4340142/4334048/4339521/4336402/4334794/4344164/9271676/4350083/4332547/4339645/4333898/107275880/4350817/4325444/4331528/4332596/4352498/4328147/4336982/4343906/4330451/4334841/4336983/4324516/4327819/4336384/4352833/4352832/4328603/4330627/4349660/4333033/4324844/4335048/4330036/4330657/4328143/4334640/4335576/4340093/4326680/4345056/4351381/4332563/4346642/4328992/4332286/4339684/4330474/4338868/4331836/4339583/4340691/4348636/4350816/4334049/4345690/4348072/4337230/4351460/4349745/4344928/4343348/4346596/4338861	67	GO:0016053: organic acid biosynthetic process
BP	GO:0046394	carboxylic acid biosynthetic process	67/1459	350/11422	0.191428571428571	1.49862723979242	3.62561454374919	0.000383468738992726	0.0153494014691255	0.0136680816617583	4334381/4337347/4340142/4334048/4339521/4336402/4334794/4344164/9271676/4350083/4332547/4339645/4333898/107275880/4350817/4325444/4331528/4332596/4352498/4328147/4336982/4343906/4330451/4334841/4336983/4324516/4327819/4336384/4352833/4352832/4328603/4330627/4349660/4333033/4324844/4335048/4330036/4330657/4328143/4334640/4335576/4340093/4326680/4345056/4351381/4332563/4346642/4328992/4332286/4339684/4330474/4338868/4331836/4339583/4340691/4348636/4350816/4334049/4345690/4348072/4337230/4351460/4349745/4344928/4343348/4346596/4338861	67	GO:0046394: carboxylic acid biosynthetic process
BP	GO:0071554	cell wall organization or biogenesis	65/1459	394/11422	0.16497461928934	1.29152851372368	2.25354075818663	0.0170624965633052	0.01	0.01	4344368/4347136/4331259/4328966/4332574/4343844/4348365/4330583/107280744/4339895/4335860/4348853/4343049/4345658/4329121/4330912/4329045/4334604/9267660/4347268/4334710/4330606/4341648/4332569/4337166/4345960/4340468/4324536/4347671/4328967/4351177/4337958/4350319/4325131/4326529/4336041/4334515/4346968/9270078/9269982/4330821/4330706/4349348/4332625/4342858/4329203/4333049/4345458/4331519/4343553/107276327/4351129/4338720/4327217/4330750/4337139/4336602/4344020/4333697/4330213/4350320/107276048/4340469/4344370/107278203	65	GO:0071554: cell wall organization or biogenesis
BP	GO:0033554	cellular response to stress	62/1459	435/11422	0.142528735632184	1.11580755201563	0.942381157934847	0.01	0.01	0.01	4334691/4344031/4334754/4336560/4333161/4350526/4340223/4335134/4331236/4324158/4340912/4335732/9270304/4351390/4323853/4333165/4339821/4341465/4331016/4351482/4325652/4336384/4336225/4334405/4340604/4341749/4330505/4328075/4335896/107275835/4334839/4327706/4344139/4339099/4342124/4338088/4331090/4345893/4339343/4343276/4328092/9270244/4333880/4339215/4330474/4337655/4349656/4351377/4345071/9271913/4339642/4348535/4340503/4342485/4345706/4336726/9267802/4347405/4347402/4329835/4339794/4345606	62	GO:0033554: cellular response to stress
CC	GO:0009941	chloroplast envelope	28/1441	146/12039	0.191780821917808	1.60225490289278	2.6996549848513	0.00753450495325314	0.01	0.01	4334695/4345334/4343643/4349303/4339137/4326365/4332389/4351259/4327491/4352522/4332203/4352800/4338277/4344527/9270824/4341902/4325928/4342600/4333802/4338191/4325917/4334387/4343219/4338668/4352341/9270397/9272586/4323925	28	GO:0009941: chloroplast envelope
CC	GO:0009532	plastid stroma	27/1441	117/12039	0.230769230769231	1.92798804249186	3.71927212014225	0.000531505018138021	0.0441149165054558	0.0412149505292992	4329911/4339248/4329007/4351682/9266797/4342564/4326994/4330451/4338768/9266653/4352441/4332348/4335896/4351224/4343219/4345893/4328000/4334003/9272377/4324700/4349897/4326153/4332063/4337230/4333151/4345438/4338302	27	GO:0009532: plastid stroma
CC	GO:0009570	chloroplast stroma	25/1441	111/12039	0.225225225225225	1.881670011441	3.44097047110144	0.0012188429216633	0.01	0.01	4329911/4339248/4329007/4351682/9266797/4342564/4326994/4330451/4338768/9266653/4352441/4335896/4351224/4343219/4345893/4328000/4334003/9272377/4324700/4349897/4326153/4332063/4337230/4345438/4338302	25	GO:0009570: chloroplast stroma
CC	GO:0005773	vacuole	25/1441	163/12039	0.153374233128834	1.28138264582792	1.33368485366483	0.01	0.01	0.01	4336523/4337620/107275726/4329678/4344482/4332270/4328060/4339457/4327412/4336250/4324348/4345218/4325287/4328075/4348376/4328018/9272111/4327371/107275756/4324982/4334137/4342783/4330133/4329846/4331730	25	GO:0005773: vacuole
CC	GO:0099023	vesicle tethering complex	19/1441	82/12039	0.231707317073171	1.93582539225809	3.13536307118764	0.00320720982642379	0.01	0.01	4335639/4326480/4335134/4346124/4351323/9269169/4352423/4347167/4344339/4348622/9268086/4332756/4349830/4351857/4337464/4343638/4334934/4352484/4336957	19	GO:0099023: vesicle tethering complex
CC	GO:0005777	peroxisome	17/1441	83/12039	0.204819277108434	1.71118617425984	2.39732326751264	0.0178576872629132	0.01	0.01	4328997/4347752/4343616/4337359/4330469/4326503/4331150/4330468/4348804/4338442/4332579/4342124/4345232/9268154/4347443/4341876/4345606	17	GO:0005777: peroxisome
CC	GO:0042579	microbody	17/1441	83/12039	0.204819277108434	1.71118617425984	2.39732326751264	0.0178576872629132	0.01	0.01	4328997/4347752/4343616/4337359/4330469/4326503/4331150/4330468/4348804/4338442/4332579/4342124/4345232/9268154/4347443/4341876/4345606	17	GO:0042579: microbody
CC	GO:1905368	peptidase complex	17/1441	84/12039	0.202380952380952	1.69081491028056	2.3427381928406	0.0199728160500391	0.01	0.01	4327357/4333000/4330075/4324027/4334173/4324031/4338009/4340166/4330676/4331828/4347710/4346245/4340253/107278560/4340285/4350922/4327502	17	GO:1905368: peptidase complex
CC	GO:0000502	proteasome complex	15/1441	62/12039	0.241935483870968	2.0212777864834	2.97278094164093	0.00546072630779456	0.01	0.01	4327357/4333000/4330075/4334173/4324031/4338009/4340166/4330676/4331828/4347710/4346245/4340253/107278560/4340285/4350922	15	GO:0000502: proteasome complex
CC	GO:0098791	Golgi apparatus subcompartment	15/1441	63/12039	0.238095238095238	1.98919401209478	2.90263924047204	0.00639316443050262	0.01	0.01	4342364/4351323/9269169/4343931/4333331/4339340/4347268/4340468/4330821/4331090/4332756/4337139/4340469/4352484/4336957	15	GO:0098791: Golgi apparatus subcompartment
