category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Metabolism	Global and overview maps	dosa01200	Carbon metabolism	75/762	226/3900	0.331858407079646	1.69848791025016	5.33053956009711	4.00007402143661e-07	2.37972686298567e-05	1.97242176791187e-05	Os08g0366000/Os02g0601300/Os04g0106400/Os03g0781400/Os07g0529000/Os04g0459500/Os12g0632700/Os07g0176900/Os12g0625000/Os09g0446800/Os09g0509200/Os05g0402700/Os06g0246500/Os06g0611900/Os01g0711400/Os02g0244700/Os06g0136600/Os10g0503500/Os09g0465600/Os08g0439000/Os03g0248600/Os01g0654500/Os01g0817700/Os08g0431300/Os01g0905800/Os06g0608700/Os01g0337900/Os07g0181000/Os02g0621700/Os06g0486900/Os04g0107200/Os08g0434300/Os06g0486800/Os05g0429000/Os06g0548000/Os03g0267300/Os03g0416500/Os01g0188400/Os07g0410100/Os06g0564700/Os02g0232400/Os08g0154300/Os05g0574400/Os03g0815200/Os07g0604000/Os01g0328700/Os01g0574600/Os03g0330200/Os06g0664200/Os01g0874900/Os02g0595500/Os04g0479200/Os03g0773800/Os08g0126300/Os10g0552900/Os01g0276700/Os09g0408600/Os04g0650800/Os03g0266200/Os10g0204400/Os04g0119400/Os01g0723400/Os01g0841600/Os04g0490800/Os10g0390500/Os01g0829800/Os08g0440800/Os06g0668200/Os08g0547100/Os03g0169100/Os01g0866400/Os07g0617800/Os11g0538900/Os05g0194900/Os03g0129300	75
Metabolism	Global and overview maps	dosa01230	Biosynthesis of amino acids	67/762	178/3900	0.376404494382022	1.92647969565602	6.23426639876864	6.68009871960945e-09	8.48372537390401e-07	7.03168286274679e-07	Os12g0623900/Os08g0559600/Os07g0300900/Os02g0601300/Os03g0781400/Os12g0624000/Os02g0655300/Os07g0176900/Os05g0135700/Os12g0625000/Os03g0718000/Os02g0436400/Os03g0299900/Os01g0293000/Os05g0402700/Os06g0136600/Os06g0133900/Os08g0439000/Os03g0248600/Os03g0826500/Os01g0654500/Os12g0235800/Os01g0817700/Os02g0440000/Os03g0264400/Os01g0905800/Os06g0608700/Os03g0655700/Os03g0712800/Os02g0608600/Os07g0181000/Os02g0180500/Os05g0429000/Os06g0548000/Os06g0564700/Os02g0232400/Os03g0797000/Os08g0154300/Os01g0848200/Os03g0760700/Os03g0330200/Os09g0539100/Os02g0749300/Os01g0874900/Os06g0709000/Os02g0595500/Os04g0479200/Os02g0125100/Os08g0126300/Os02g0797500/Os01g0276700/Os04g0650800/Os08g0342400/Os03g0266200/Os04g0406600/Os01g0841600/Os10g0390500/Os09g0294000/Os03g0223400/Os06g0668200/Os03g0279400/Os03g0169100/Os07g0617800/Os05g0558400/Os11g0538900/Os05g0194900/Os05g0573700	67
Metabolism	Global and overview maps	dosa01240	Biosynthesis of cofactors	43/762	190/3900	0.226315789473684	1.15830915872358	1.10236018828362	0.01	0.01	0.01	Os04g0455800/Os10g0502400/Os07g0561500/Os02g0575200/Os06g0196600/Os05g0135700/Os02g0730000/Os04g0429800/Os07g0618500/Os09g0446800/Os08g0496000/Os03g0117200/Os11g0591100/Os12g0192500/Os05g0456300/Os01g0293000/Os06g0270900/Os02g0778400/Os04g0557000/Os05g0361200/Os01g0337900/Os01g0127900/Os05g0429000/Os03g0563100/Os02g0647900/Os01g0328700/Os07g0616200/Os05g0460600/Os12g0507000/Os01g0874900/Os09g0277800/Os02g0134400/Os08g0245400/Os08g0322600/Os12g0443600/Os12g0443500/Os03g0757900/Os11g0186200/Os03g0851800/Os06g0109600/Os05g0558400/Os02g0196900/Os02g0276500	43
Metabolism	Carbohydrate metabolism	dosa00010	Glycolysis / Gluconeogenesis	42/762	112/3900	0.375	1.91929133858268	4.86390213540391	5.53894913048054e-06	0.000175861634892757	0.000145761819223172	Os03g0712700/Os02g0601300/Os02g0730000/Os04g0658000/Os08g0345700/Os05g0456300/Os09g0509200/Os05g0402700/Os06g0246500/Os06g0270900/Os06g0136600/Os09g0465600/Os08g0439000/Os03g0248600/Os01g0817700/Os08g0431300/Os01g0905800/Os06g0608700/Os01g0337900/Os07g0181000/Os03g0267300/Os07g0410100/Os03g0818100/Os02g0647900/Os01g0328700/Os03g0330200/Os03g0293500/Os06g0664200/Os08g0126300/Os01g0276700/Os09g0408600/Os03g0266200/Os10g0204400/Os04g0119400/Os05g0469600/Os01g0841600/Os08g0440800/Os11g0186200/Os06g0668200/Os01g0866400/Os11g0210600/Os05g0194900	42
Genetic Information Processing	Folding, sorting and degradation	dosa04141	Protein processing in endoplasmic reticulum	34/762	156/3900	0.217948717948718	1.11548556430446	0.725353504394057	0.01	0.01	0.01	Os04g0432500/Os12g0244100/Os01g0276800/Os04g0549600/Os03g0821100/Os11g0703900/Os01g0840100/Os07g0497400/Os02g0179300/Os09g0322800/Os09g0482100/Os09g0482400/Os06g0716700/Os05g0149600/Os03g0787300/Os04g0307200/Os01g0377700/Os05g0460000/Os05g0156300/Os03g0648400/Os01g0339900/Os02g0100100/Os03g0277300/Os03g0151800/Os04g0606400/Os03g0296400/Os12g0514500/Os03g0276500/Os02g0115900/Os07g0246200/Os09g0407200/Os01g0911200/Os09g0474300/Os05g0296800	34
Metabolism	Energy metabolism	dosa00710	Carbon fixation by Calvin cycle	30/762	64/3900	0.46875	2.39911417322835	5.56072576111742	5.62140203854884e-07	2.37972686298567e-05	1.97242176791187e-05	Os08g0366000/Os02g0601300/Os03g0781400/Os04g0459500/Os12g0632700/Os07g0176900/Os05g0402700/Os02g0244700/Os10g0503500/Os01g0905800/Os06g0608700/Os08g0434300/Os06g0548000/Os03g0267300/Os01g0188400/Os08g0154300/Os05g0574400/Os06g0664200/Os03g0773800/Os08g0126300/Os10g0204400/Os01g0723400/Os01g0841600/Os10g0390500/Os01g0829800/Os06g0668200/Os03g0169100/Os01g0866400/Os07g0617800/Os03g0129300	30
Metabolism	Global and overview maps	dosa01210	2-Oxocarboxylic acid metabolism	28/762	70/3900	0.4	2.04724409448819	4.3563742936967	5.43837814239395e-05	0.00128682641558676	0.00106657804855927	Os08g0559600/Os07g0300900/Os03g0171900/Os02g0655300/Os09g0509200/Os06g0246500/Os01g0654500/Os08g0431300/Os01g0337900/Os03g0655700/Os02g0608600/Os06g0548000/Os07g0410100/Os02g0232400/Os01g0328700/Os03g0760700/Os02g0595500/Os04g0479200/Os02g0125100/Os02g0797500/Os09g0408600/Os04g0119400/Os10g0390500/Os03g0279400/Os07g0617800/Os05g0558400/Os11g0538900/Os05g0573700	28
Metabolism	Carbohydrate metabolism	dosa00620	Pyruvate metabolism	28/762	79/3900	0.354430379746835	1.81401375460979	3.60150816563106	0.000604628889907574	0.00959848362728274	0.00795564328825755	Os08g0366000/Os12g0632700/Os02g0730000/Os08g0191700/Os05g0456300/Os09g0509200/Os06g0246500/Os06g0270900/Os02g0244700/Os10g0503500/Os08g0431300/Os01g0337900/Os07g0181000/Os08g0434300/Os01g0188400/Os07g0410100/Os05g0574400/Os02g0647900/Os01g0328700/Os03g0773800/Os01g0276700/Os09g0408600/Os10g0204400/Os04g0119400/Os01g0723400/Os01g0829800/Os11g0186200/Os11g0210600	28
Metabolism	Amino acid metabolism	dosa00270	Cysteine and methionine metabolism	28/762	94/3900	0.297872340425532	1.52454347461886	2.53652213874023	0.0104955394788593	0.01	0.01	Os12g0623900/Os07g0300900/Os09g0451000/Os09g0451400/Os12g0624000/Os03g0171900/Os01g0290100/Os11g0216900/Os12g0632700/Os05g0135700/Os12g0625000/Os01g0293000/Os11g0484000/Os08g0434300/Os06g0548000/Os03g0307300/Os06g0564700/Os05g0574400/Os03g0760700/Os01g0101200/Os03g0773800/Os02g0797500/Os04g0650800/Os08g0342400/Os05g0149400/Os01g0829800/Os09g0294000/Os05g0558400	28
Metabolism	Carbohydrate metabolism	dosa00500	Starch and sucrose metabolism	28/762	125/3900	0.224	1.14645669291339	0.820036881544736	0.01	0.01	0.01	Os03g0712700/Os10g0323500/Os09g0511600/Os06g0676700/Os06g0726400/Os05g0517200/Os03g0749500/Os09g0465600/Os06g0133000/Os01g0508000/Os07g0662900/Os05g0580000/Os03g0340500/Os08g0414700/Os02g0184400/Os08g0473900/Os01g0851700/Os06g0194900/Os04g0413500/Os03g0329500/Os07g0624600/Os03g0703100/Os03g0401300/Os09g0369400/Os04g0474500/Os03g0736300/Os05g0533600/Os05g0365600	28
