category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Metabolism	Carbohydrate metabolism	dosa00520	Amino sugar and nucleotide sugar metabolism	25/762	108/3900	0.231481481481481	1.18474773986585	0.959366349419513	0.01	0.01	0.01	Os03g0712700/Os07g0139400/Os09g0531900/Os05g0399700/Os05g0115900/Os11g0591100/Os03g0330000/Os03g0115100/Os06g0726100/Os09g0465600/Os11g0131900/Os12g0128700/Os09g0323000/Os05g0580000/Os01g0127900/Os08g0129700/Os09g0526700/Os04g0640700/Os12g0443600/Os12g0443500/Os03g0757900/Os09g0531800/Os01g0315800/Os07g0674100/Os07g0681700	25
Metabolism	Carbohydrate metabolism	dosa00630	Glyoxylate and dicarboxylate metabolism	23/762	66/3900	0.348484848484849	1.78358387019804	3.16343586999137	0.00235271915482635	0.0271632120602679	0.0225140588978598	Os04g0106400/Os07g0658400/Os07g0529000/Os12g0632700/Os06g0611900/Os01g0711400/Os01g0337900/Os03g0712800/Os06g0486900/Os04g0107200/Os08g0434300/Os06g0486800/Os05g0429000/Os02g0232400/Os05g0574400/Os01g0328700/Os01g0574600/Os01g0874900/Os03g0773800/Os04g0490800/Os01g0829800/Os03g0223400/Os11g0538900	23
Metabolism	Carbohydrate metabolism	dosa00020	Citrate cycle (TCA cycle)	21/762	50/3900	0.42	2.1496062992126	4.03117271542623	0.000207144904910625	0.00375820041766419	0.00311496097609962	Os12g0632700/Os09g0509200/Os06g0246500/Os01g0654500/Os08g0431300/Os01g0337900/Os02g0621700/Os08g0434300/Os07g0410100/Os02g0232400/Os05g0574400/Os01g0328700/Os02g0595500/Os04g0479200/Os03g0773800/Os09g0408600/Os10g0204400/Os04g0119400/Os01g0829800/Os01g0300200/Os11g0538900	21
Genetic Information Processing	Translation	dosa03008	Ribosome biogenesis in eukaryotes	21/762	67/3900	0.313432835820896	1.60418380538254	2.4579028070845	0.0138539439717021	0.01	0.01	Os02g0103900/Os06g0600301/Os01g0611100/Os03g0333100/Os03g0207300/Os03g0801800/Os03g0300300/Os02g0290400/Os04g0592700/Os07g0224900/Os03g0824300/Os01g0872700/Os05g0574500/Os05g0519500/Os03g0350300/Os03g0350100/Os01g0375000/Os03g0650700/Os01g0649000/Os03g0352300/Os10g0573900	21
Metabolism	Amino acid metabolism	dosa00260	Glycine, serine and threonine metabolism	20/762	54/3900	0.37037037037037	1.89559638378536	3.26536854508844	0.00194706713553122	0.0247277526212464	0.0204954435319075	Os07g0300900/Os04g0106400/Os03g0171900/Os06g0611900/Os01g0711400/Os01g0817700/Os01g0337900/Os04g0107200/Os05g0429000/Os03g0797000/Os04g0464200/Os01g0328700/Os03g0760700/Os03g0330200/Os01g0874900/Os08g0424500/Os04g0650800/Os08g0342400/Os09g0294000/Os04g0555900	20
Metabolism	Global and overview maps	dosa01212	Fatty acid metabolism	20/762	63/3900	0.317460317460317	1.62479690038745	2.46343368180239	0.0139215902665156	0.01	0.01	Os10g0457600/Os07g0561500/Os11g0147000/Os04g0379900/Os06g0196600/Os02g0274100/Os03g0297400/Os12g0168700/Os07g0675000/Os03g0101100/Os01g0348600/Os07g0616200/Os02g0817700/Os11g0558300/Os01g0919900/Os09g0277800/Os11g0169800/Os02g0644700/Os11g0659500/Os02g0196900	20
Genetic Information Processing	Translation	dosa03013	Nucleocytoplasmic transport	20/762	80/3900	0.25	1.27952755905512	1.24470254569136	0.01	0.01	0.01	Os06g0600301/Os01g0235400/Os01g0611100/Os03g0349000/Os05g0543200/Os09g0298400/Os03g0225500/Os07g0575100/Os05g0574500/Os05g0569800/Os01g0559200/Os05g0353400/Os07g0613300/Os03g0178000/Os03g0177900/Os03g0177500/Os03g0177400/Os06g0305200/Os10g0573900/Os03g0110400	20
Genetic Information Processing	Folding, sorting and degradation	dosa03018	RNA degradation	20/762	86/3900	0.232558139534884	1.19025819446988	0.879083008749548	0.01	0.01	0.01	Os02g0102900/Os06g0136600/Os08g0439000/Os03g0248600/Os04g0533000/Os12g0403800/Os11g0176200/Os10g0462900/Os03g0143400/Os02g0774300/Os06g0589700/Os06g0300800/Os02g0782200/Os01g0872700/Os12g0277500/Os10g0412100/Os03g0266200/Os02g0641800/Os02g0722800/Os05g0194900	20
Genetic Information Processing	Translation	dosa03015	mRNA surveillance pathway	20/762	92/3900	0.217391304347826	1.11263266004793	0.538688145460691	0.01	0.01	0.01	Os04g0270100/Os10g0476600/Os07g0584500/Os09g0249700/Os02g0224200/Os05g0149800/Os06g0589700/Os03g0852900/Os03g0268000/Os12g0193200/Os07g0587400/Os05g0373900/Os02g0217500/Os06g0164100/Os03g0702800/Os02g0227400/Os08g0490300/Os03g0844500/Os04g0677800/Os08g0180000	20
Metabolism	Carbohydrate metabolism	dosa00030	Pentose phosphate pathway	19/762	48/3900	0.395833333333333	2.0259186351706	3.52385501596834	0.000997471884380337	0.0140754365907003	0.0116663378290098	Os03g0712700/Os03g0781400/Os07g0176900/Os08g0345700/Os05g0402700/Os09g0465600/Os08g0439000/Os01g0905800/Os06g0608700/Os03g0267300/Os03g0416500/Os08g0154300/Os07g0604000/Os06g0664200/Os08g0440800/Os08g0547100/Os03g0169100/Os01g0866400/Os05g0194900	19
