ONTOLOGY	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	term
BP	GO:0044283	small molecule biosynthetic process	121/1470	474/11422	0.255274261603376	1.98349837825426	8.40525655579074	1.97541572818934e-14	2.82681990703894e-11	2.45783304286294e-11	4336023/4352832/4334382/4346318/9270715/4349718/4342980/9271623/4344164/4328435/4352833/4333566/4337286/4350083/4335627/4340392/4352839/4334381/4333918/4336983/4329224/4350816/4351707/4332563/4332547/4338737/4336831/4347311/4340026/4334640/4333768/4351847/4330037/4333156/4345710/4329234/4332341/4333410/4325027/4340409/4333613/4333896/4331917/4348794/4340691/4350524/4333823/4325211/4328508/4338868/4335739/4340579/4336384/4332364/4332608/4333257/4341322/4334425/4330036/4324853/4334554/4334188/4343906/4339017/4332519/4341770/4347717/4336415/4338861/4330040/4330732/4335576/4324773/4342026/4337720/4328147/4330451/4327738/9271676/4346596/4345056/4328143/4334535/4337230/4345328/4348268/4336402/4339066/4328603/4344594/4335756/4349660/4327400/4351957/4351056/4330657/4348467/4326739/4333033/4333818/4346642/4332108/4345268/4352147/4348632/4352146/4334169/4342182/4341792/4332434/4325071/4341305/4330034/4325777/4333898/4339583/4331598/4336624/4324713/4339677/4329007	121	GO:0044283: small molecule biosynthetic process
BP	GO:0016053	organic acid biosynthetic process	94/1470	350/11422	0.268571428571429	2.08681827016521	7.9365811956245	7.98222937736343e-13	3.80752341300236e-10	3.31052460492757e-10	4336023/4352832/4334382/4346318/9270715/4342980/4344164/4352833/4333566/4350083/4335627/4340392/4352839/4334381/4333918/4336983/4329224/4350816/4332563/4332547/4340026/4334640/4351847/4330037/4333156/4345710/4329234/4332341/4333410/4340409/4333613/4333896/4348794/4340691/4350524/4333823/4328508/4338868/4340579/4336384/4332608/4333257/4341322/4334425/4330036/4324853/4334554/4334188/4343906/4347717/4336415/4338861/4330040/4330732/4335576/4324773/4342026/4337720/4328147/4330451/4327738/9271676/4346596/4345056/4328143/4334535/4337230/4345328/4336402/4328603/4344594/4335756/4349660/4351056/4330657/4326739/4333033/4333818/4346642/4332108/4352147/4348632/4352146/4334169/4342182/4332434/4341305/4330034/4325777/4333898/4339583/4336624/4324713/4339677	94	GO:0016053: organic acid biosynthetic process
BP	GO:0046394	carboxylic acid biosynthetic process	94/1470	350/11422	0.268571428571429	2.08681827016521	7.9365811956245	7.98222937736343e-13	3.80752341300236e-10	3.31052460492757e-10	4336023/4352832/4334382/4346318/9270715/4342980/4344164/4352833/4333566/4350083/4335627/4340392/4352839/4334381/4333918/4336983/4329224/4350816/4332563/4332547/4340026/4334640/4351847/4330037/4333156/4345710/4329234/4332341/4333410/4340409/4333613/4333896/4348794/4340691/4350524/4333823/4328508/4338868/4340579/4336384/4332608/4333257/4341322/4334425/4330036/4324853/4334554/4334188/4343906/4347717/4336415/4338861/4330040/4330732/4335576/4324773/4342026/4337720/4328147/4330451/4327738/9271676/4346596/4345056/4328143/4334535/4337230/4345328/4336402/4328603/4344594/4335756/4349660/4351056/4330657/4326739/4333033/4333818/4346642/4332108/4352147/4348632/4352146/4334169/4342182/4332434/4341305/4330034/4325777/4333898/4339583/4336624/4324713/4339677	94	GO:0046394: carboxylic acid biosynthetic process
BP	GO:0006520	amino acid metabolic process	85/1470	332/11422	0.256024096385542	1.98932464552086	7.03068509635308	1.51206974837783e-10	3.60628634988112e-08	3.1355551624256e-08	4352832/4346318/4335708/9270715/4348211/4349718/4342980/4344164/4337830/4352833/4331779/4325587/4350083/4344637/4352741/4352839/4348564/4333918/4336983/4329224/4332563/4341516/4325932/9267778/4340026/4339847/4334640/4351847/4330037/4345710/4329234/4332341/4336554/4340409/4333613/4333896/4348794/4340008/4350524/4328508/4338868/4341252/4341322/4329560/4334425/4330036/4324853/4334554/4334188/4332519/4347717/4336415/4338861/4330040/4330732/4342480/4324773/4342026/4328147/4346391/9271676/4331017/4349332/4334535/4337230/4345328/4336402/4339066/4335756/4349660/4348524/4330657/4346642/4351413/4349694/4332108/4332434/4343916/4330034/4326551/4333898/4339583/4336624/4324713/4339677	85	GO:0006520: amino acid metabolic process
BP	GO:1901135	carbohydrate derivative metabolic process	83/1470	460/11422	0.180434782608696	1.40199053534457	3.38224757763399	0.000750396908740663	0.0160271339762371	0.0139351004891039	4334671/4335745/4342364/4324264/4334316/4338879/4329749/107276153/4332054/4338720/4342543/4328470/4347611/4337620/4348331/4348305/4331746/4348811/4347509/4347531/4338737/4340640/4331392/4332372/4342114/9269493/4347311/4347318/4327239/4327833/4333156/9270041/4351721/4341339/4345640/4333410/4325027/4341496/4325991/4347443/4330016/9270381/4325211/4344584/4332364/4333117/4343003/4344683/4339200/4333043/4343843/4341660/4344854/4347182/4341851/4341770/4337888/4326153/4347022/4334968/9267826/4327400/4350171/4331088/4333153/4329911/4324876/4351413/4349694/4352147/4352146/4334169/4331761/4337890/4325071/4339882/4325777/4327295/4344260/4331598/4347383/4338034/4331059	83	GO:1901135: carbohydrate derivative metabolic process
BP	GO:0019637	organophosphate metabolic process	82/1470	432/11422	0.189814814814815	1.47487402368355	3.86702509420344	0.000154277755038146	0.00501753335135425	0.00436259106351887	4334671/4345898/4335745/9271623/4334316/4338879/4329749/107276153/4337286/4325407/4342543/9269201/4328470/4335862/4348331/4348305/4331746/4351707/4347509/4347531/4338737/4340640/4331392/4333582/4333768/4347318/4324176/4345725/4327239/4327833/4351721/4341339/4345640/4337942/4325027/4341496/4340409/4331917/4347443/4330016/9270381/4325211/4332364/4333117/4343003/4344683/4344468/4327647/4341468/4339200/4340951/4333043/4343843/4341660/4344854/4347182/4341770/4352298/4346680/107276788/4339785/4332721/4337888/4328220/4326153/4347022/4334968/9267826/4327400/4341467/4329911/4348467/4346083/4327199/4331761/4337890/4325071/4339882/4325777/4347383/4338034/4331059	82	GO:0019637: organophosphate metabolic process
BP	GO:0032787	monocarboxylic acid metabolic process	80/1470	304/11422	0.263157894736842	2.04475474400286	7.09566916380066	1.26700026074672e-10	3.60628634988112e-08	3.1355551624256e-08	4348804/4336023/4334382/4335745/4329892/4328435/4343441/4331779/4333566/4352871/4335627/4340392/4334381/4328997/4336983/4344858/4332547/4347531/4338737/4340640/4337006/4340042/4349051/4347311/4349614/4332253/4337069/4330037/4327493/4345640/4325027/4341496/4344267/4340691/4333823/4341070/4325211/4341069/4340579/4336384/4326769/4343003/4330036/4326503/4343906/4331150/4332728/4336415/4338861/4330040/4330732/4337720/4330451/4327738/4324491/9271676/4347752/4346596/4344564/4326153/4345056/4324263/4347022/4334535/4332356/4334968/4328603/4344594/4327400/4351056/4329911/4326739/4338691/4346906/4333818/4348632/4341792/4341907/4330034/4325777	80	GO:0032787: monocarboxylic acid metabolic process
BP	GO:0033554	cellular response to stress	72/1470	435/11422	0.16551724137931	1.28608022519353	2.33802125307469	0.0137482839746451	0.01	0.01	4343276/4339343/4335881/4342584/4335134/4351944/4333378/9268989/4328515/4347617/4328500/4325191/4348535/4339293/4347402/9267802/4347405/4342077/4328600/4339327/4327960/4326159/4325552/9271158/4352514/4344031/4327136/4338866/4332326/9271129/4336554/4338271/4331090/4333161/4345573/9268162/4332052/4327899/4331121/4336384/4333880/4340137/4327971/9267055/4336081/4347081/4331645/4337137/4349557/4352339/4349672/9266232/4325640/4328075/4339038/4342826/4345606/4327631/9271913/4335896/4347014/4326411/9270304/4351098/4333557/4351654/4346078/4342491/4337655/9267125/4339099/4326378	72	GO:0033554: cellular response to stress
BP	GO:0048519	negative regulation of biological process	67/1470	478/11422	0.140167364016736	1.08910995360487	0.764905305275601	0.01	0.01	0.01	4340671/4336092/9266635/4331683/4325982/4347579/4344894/4340996/4336279/4333618/4338920/4336501/4337069/9268323/4326898/4352037/4337559/4346657/4343018/4332326/4332197/9271001/4340409/4340825/4336384/107276303/4324952/4347161/4333880/4341077/4342244/4346519/4328304/4334435/4337137/4348610/4325442/4334103/4335803/4335850/4340005/4330058/4323938/4331698/4339123/4333230/4330670/9271913/4336196/4334449/9267985/4326595/4331253/4333337/4344544/4338199/4330120/4332497/4329508/4337837/4335025/4330568/9269241/4331353/4329065/4338582/4326378	67	GO:0048519: negative regulation of biological process
BP	GO:0051649	establishment of localization in cell	66/1470	477/11422	0.138364779874214	1.0751037521927	0.643974233704996	0.01	0.01	0.01	4342362/4326915/4333886/4327779/4323876/4325312/4349695/4335134/4343605/4331680/4349288/4338016/4332834/4335045/4346949/4332330/4332389/4335435/9267495/4337006/4341266/4327818/4345726/4334700/4349913/4346657/4332118/4335313/4343696/4325877/4352484/4340257/4339683/4333909/4333309/4339657/4326400/4335926/4324680/4338508/4333661/4343885/9272347/4343931/4341074/9270655/4331645/4337834/4340097/4327713/4334079/4326480/9267670/4327660/4340842/4333120/4343001/4345680/4346621/4329031/4324461/4333557/4349477/4348622/4331353/4337868	66	GO:0051649: establishment of localization in cell
