Sn	Sp	Acc	MCC	<<Cutoff
0.178911	0.969909	0.839499	0.242998	0.37708
0.178911	0.969811	0.839417	0.242665	0.377078
0.17941	0.969712	0.839417	0.242975	0.377077
0.17991	0.969712	0.839499	0.243617	0.377076
0.17991	0.969613	0.839417	0.243285	0.377076
0.18041	0.969613	0.839499	0.243926	0.377075
0.18041	0.969515	0.839417	0.243594	0.377075
0.18041	0.969416	0.839334	0.243263	0.377075
0.18041	0.969317	0.839252	0.242932	0.377074
0.18041	0.969219	0.839169	0.242603	0.377074
0.18091	0.969219	0.839252	0.243243	0.377073
0.18091	0.96912	0.839169	0.242913	0.377073
0.181409	0.96912	0.839252	0.243553	0.377072
0.181909	0.96912	0.839334	0.244192	0.377072
0.181909	0.969021	0.839252	0.243863	0.377071
0.181909	0.968923	0.839169	0.243534	0.37707
0.181909	0.968824	0.839087	0.243207	0.37707
0.182409	0.968824	0.839169	0.243844	0.37707
0.182909	0.968824	0.839252	0.244481	0.377069
0.182909	0.968725	0.839169	0.244154	0.377069
0.183408	0.968725	0.839252	0.24479	0.377068
0.183408	0.968627	0.839169	0.244464	0.377068
0.183408	0.968528	0.839087	0.244138	0.377067
0.183908	0.968528	0.839169	0.244773	0.377064
0.184408	0.968528	0.839252	0.245408	0.377063
0.184908	0.968528	0.839334	0.246042	0.377063
0.184908	0.968429	0.839252	0.245716	0.377063
0.184908	0.968331	0.839169	0.245391	0.377061
0.185407	0.968331	0.839252	0.246024	0.377061
0.185907	0.968331	0.839334	0.246656	0.377059
0.185907	0.968232	0.839252	0.246332	0.377058
0.185907	0.968133	0.839169	0.246007	0.377057
0.185907	0.968035	0.839087	0.245684	0.377057
0.185907	0.967936	0.839005	0.245361	0.377056
0.186407	0.967936	0.839087	0.245992	0.377049
0.186907	0.967936	0.839169	0.246623	0.377047
0.186907	0.967837	0.839087	0.246301	0.377046
0.186907	0.967739	0.839005	0.245979	0.377043
0.187406	0.967739	0.839087	0.246609	0.377043
0.187906	0.967739	0.839169	0.247238	0.377042
0.188406	0.967739	0.839252	0.247866	0.377041
0.188906	0.967739	0.839334	0.248494	0.377041
0.188906	0.96764	0.839252	0.248172	0.377041
0.188906	0.967541	0.839169	0.247851	0.37704
0.189405	0.967541	0.839252	0.248478	0.37704
0.189405	0.967443	0.839169	0.248158	0.377039
0.189405	0.967344	0.839087	0.247838	0.377039
