Sn	Sp	Acc	MCC	<<Cutoff
0.5	0.917374	0.888431	0.336776	0.227264
0.5	0.917005	0.888088	0.336027	0.226855
0.5	0.916636	0.887745	0.335281	0.22673
0.50495	0.916636	0.888088	0.338813	0.226695
0.509901	0.916636	0.888431	0.342336	0.225761
0.514851	0.916636	0.888774	0.345851	0.225756
0.514851	0.916267	0.888431	0.3451	0.225636
0.514851	0.915898	0.888088	0.344352	0.224856
0.514851	0.915529	0.887745	0.343607	0.224355
0.514851	0.91516	0.887401	0.342864	0.224318
0.514851	0.914792	0.887058	0.342125	0.223565
0.514851	0.914423	0.886715	0.341388	0.223119
0.514851	0.914054	0.886371	0.340654	0.223028
0.514851	0.913685	0.886028	0.339924	0.22299
0.514851	0.913316	0.885685	0.339196	0.222874
0.514851	0.912947	0.885342	0.33847	0.22219
0.519802	0.912947	0.885685	0.341951	0.222009
0.519802	0.912578	0.885342	0.341226	0.22134
0.519802	0.91221	0.884998	0.340504	0.221322
0.519802	0.911841	0.884655	0.339784	0.221073
0.519802	0.911472	0.884312	0.339068	0.220957
0.519802	0.911103	0.883968	0.338354	0.220638
0.519802	0.910734	0.883625	0.337642	0.220122
0.519802	0.910365	0.883282	0.336934	0.219856
0.519802	0.909996	0.882939	0.336228	0.219632
0.519802	0.909627	0.882595	0.335524	0.21875
0.524752	0.909627	0.882939	0.338975	0.218263
0.529703	0.909627	0.883282	0.342417	0.218224
0.534653	0.909627	0.883625	0.345852	0.217873
0.534653	0.909259	0.883282	0.345144	0.2176
0.534653	0.90889	0.882939	0.344439	0.217399
0.534653	0.908521	0.882595	0.343736	0.216936
0.534653	0.908152	0.882252	0.343035	0.216912
0.534653	0.907783	0.881909	0.342338	0.216829
0.534653	0.907414	0.881565	0.341642	0.216653
0.534653	0.907045	0.881222	0.340949	0.216621
0.534653	0.906677	0.880879	0.340259	0.216272
0.539604	0.906677	0.881222	0.343668	0.215832
0.544554	0.906677	0.881565	0.347069	0.214568
0.544554	0.906308	0.881222	0.346377	0.214546
0.544554	0.905939	0.880879	0.345687	0.213854
0.544554	0.90557	0.880536	0.344999	0.213354
0.549505	0.90557	0.880879	0.348386	0.213098
0.549505	0.905201	0.880536	0.347699	0.212087
0.549505	0.904832	0.880192	0.347014	0.211689
0.549505	0.904463	0.879849	0.346331	0.211136
0.549505	0.904094	0.879506	0.345651	0.210319
0.549505	0.903726	0.879162	0.344974	0.210224
0.554455	0.903726	0.879506	0.348342	0.209911
0.554455	0.903357	0.879162	0.347665	0.209517
0.554455	0.902988	0.878819	0.346989	0.20947
0.554455	0.902619	0.878476	0.346317	0.209335
0.554455	0.90225	0.878133	0.345646	0.209304
0.554455	0.901881	0.877789	0.344978	0.208386
0.554455	0.901512	0.877446	0.344312	0.207671
0.554455	0.901143	0.877103	0.343648	0.207603
0.554455	0.900775	0.876759	0.342987	0.207387
0.554455	0.900406	0.876416	0.342327	0.207048
0.559406	0.900406	0.876759	0.345669	0.206088
0.559406	0.900037	0.876416	0.34501	0.205839
0.559406	0.899668	0.876073	0.344353	0.205179
0.559406	0.899299	0.875729	0.343699	0.204949
0.559406	0.89893	0.875386	0.343046	0.20443
0.564356	0.89893	0.875729	0.346373	0.204296
0.564356	0.898561	0.875386	0.34572	0.204095
0.564356	0.898193	0.875043	0.34507	0.203982
0.569307	0.898193	0.875386	0.348386	0.203858
0.569307	0.897824	0.875043	0.347736	0.203148
0.569307	0.897455	0.8747	0.347088	0.202896
0.569307	0.897086	0.874356	0.346442	0.202545
0.574257	0.897086	0.8747	0.349745	0.202534
0.574257	0.896717	0.874356	0.349099	0.202504
0.574257	0.896348	0.874013	0.348455	0.202397
0.574257	0.895979	0.87367	0.347814	0.20212
0.574257	0.89561	0.873326	0.347174	0.201319
0.574257	0.895242	0.872983	0.346536	0.200223
0.574257	0.894873	0.87264	0.345901	0.200201
0.574257	0.894504	0.872297	0.345268	0.200135
0.574257	0.894135	0.871953	0.344636	0.199817
0.574257	0.893766	0.87161	0.344007	0.199617
0.574257	0.893397	0.871267	0.34338	0.199524
0.574257	0.893028	0.870923	0.342754	0.199237
0.579208	0.893028	0.871267	0.346029	0.199179
0.579208	0.89266	0.870923	0.345403	0.19917
0.579208	0.892291	0.87058	0.34478	0.198794
0.579208	0.891922	0.870237	0.344159	0.198716
0.579208	0.891553	0.869894	0.343539	0.198533
0.579208	0.891184	0.86955	0.342922	0.197858
