Sn	Sp	Acc	MCC	<<Cutoff
0.415842	0.909091	0.867987	0.27839	0.184686
0.415842	0.908191	0.867162	0.276783	0.184109
0.425743	0.908191	0.867987	0.284388	0.183645
0.425743	0.907291	0.867162	0.282781	0.181759
0.435644	0.907291	0.867987	0.290332	0.181399
0.435644	0.906391	0.867162	0.288726	0.180864
0.435644	0.905491	0.866337	0.287133	0.180438
0.435644	0.90459	0.865512	0.285554	0.179293
0.435644	0.90369	0.864686	0.283987	0.179232
0.445545	0.90369	0.865512	0.291448	0.178863
0.445545	0.90279	0.864686	0.289882	0.178565
0.445545	0.90189	0.863861	0.288329	0.177101
0.445545	0.90099	0.863036	0.286788	0.17703
0.445545	0.90009	0.862211	0.28526	0.176242
0.455446	0.90009	0.863036	0.292634	0.175495
0.455446	0.89919	0.862211	0.291106	0.175101
0.455446	0.89829	0.861386	0.28959	0.175074
0.455446	0.89739	0.860561	0.288086	0.174811
0.455446	0.89649	0.859736	0.286593	0.174336
0.455446	0.89559	0.858911	0.285112	0.174274
0.455446	0.894689	0.858086	0.283643	0.173228
0.465347	0.894689	0.858911	0.290912	0.171941
0.475248	0.894689	0.859736	0.298147	0.171873
0.475248	0.893789	0.858911	0.296666	0.171838
0.475248	0.892889	0.858086	0.295196	0.170502
0.475248	0.891989	0.857261	0.293737	0.170356
0.475248	0.891089	0.856436	0.292289	0.168514
0.475248	0.890189	0.855611	0.290852	0.168358
0.475248	0.889289	0.854785	0.289424	0.167858
0.475248	0.888389	0.85396	0.288008	0.167799
0.475248	0.887489	0.853135	0.286601	0.167084
0.475248	0.886589	0.85231	0.285205	0.167052
0.475248	0.885689	0.851485	0.283818	0.166246
0.475248	0.884788	0.85066	0.282441	0.166054
0.475248	0.883888	0.849835	0.281073	0.16592
0.485149	0.883888	0.85066	0.288149	0.164496
0.49505	0.883888	0.851485	0.295195	0.16442
0.49505	0.882988	0.85066	0.293817	0.164289
0.49505	0.882088	0.849835	0.292448	0.163321
0.49505	0.881188	0.84901	0.291089	0.162995
0.49505	0.880288	0.848185	0.289739	0.160885
0.49505	0.879388	0.84736	0.288398	0.159984
0.49505	0.878488	0.846535	0.287065	0.15977
0.50495	0.878488	0.84736	0.294024	0.159123
0.50495	0.877588	0.846535	0.292691	0.158578
0.50495	0.876688	0.84571	0.291367	0.156703
0.50495	0.875788	0.844884	0.290052	0.156598
0.50495	0.874887	0.844059	0.288745	0.15648
0.50495	0.873987	0.843234	0.287446	0.156347
0.514851	0.873987	0.844059	0.294331	0.156243
0.514851	0.873087	0.843234	0.293032	0.15598
0.524752	0.873087	0.844059	0.299883	0.155802
0.524752	0.872187	0.843234	0.298583	0.15561
0.524752	0.871287	0.842409	0.297291	0.155309
0.524752	0.870387	0.841584	0.296007	0.155196
0.524752	0.869487	0.840759	0.294731	0.153933
0.524752	0.868587	0.839934	0.293463	0.153773
0.524752	0.867687	0.839109	0.292203	0.152461
0.524752	0.866787	0.838284	0.290951	0.1512
0.524752	0.865887	0.837459	0.289706	0.151009
0.524752	0.864986	0.836634	0.288468	0.15067
0.524752	0.864086	0.835809	0.287238	0.150099
0.524752	0.863186	0.834983	0.286015	0.149042
0.524752	0.862286	0.834158	0.2848	0.148427
0.524752	0.861386	0.833333	0.283591	0.147886
0.524752	0.860486	0.832508	0.28239	0.147861
0.524752	0.859586	0.831683	0.281195	0.147702
0.524752	0.858686	0.830858	0.280008	0.14705
0.524752	0.857786	0.830033	0.278827	0.146938
0.524752	0.856886	0.829208	0.277652	0.146724
0.524752	0.855986	0.828383	0.276485	0.144593
0.524752	0.855086	0.827558	0.275324	0.144565
0.534653	0.855086	0.828383	0.281984	0.14394
0.534653	0.854185	0.827558	0.280822	0.143834
0.534653	0.853285	0.826733	0.279666	0.143748
0.534653	0.852385	0.825908	0.278516	0.142971
0.534653	0.851485	0.825083	0.277373	0.142919
0.534653	0.850585	0.824257	0.276236	0.142771
0.534653	0.849685	0.823432	0.275105	0.141923
0.534653	0.848785	0.822607	0.27398	0.141516
0.534653	0.847885	0.821782	0.272861	0.141111
0.534653	0.846985	0.820957	0.271748	0.141029
0.534653	0.846085	0.820132	0.270641	0.140855
0.534653	0.845185	0.819307	0.26954	0.140368
0.544554	0.845185	0.820132	0.276096	0.140104
0.544554	0.844284	0.819307	0.274994	0.13952
0.544554	0.843384	0.818482	0.273896	0.138528
0.544554	0.842484	0.817657	0.272805	0.137725
0.544554	0.841584	0.816832	0.271719	0.137695
0.544554	0.840684	0.816007	0.270639	0.13758
0.544554	0.839784	0.815182	0.269564	0.137545
0.544554	0.838884	0.814356	0.268495	0.136898
0.544554	0.837984	0.813531	0.267431	0.136316
