Sn	Sp	Acc	MCC	<<Cutoff
0.478873	0.903491	0.874641	0.293492	0.15265
0.492958	0.903491	0.875598	0.303286	0.151729
0.492958	0.902464	0.874641	0.3015	0.150858
0.492958	0.901437	0.873684	0.299731	0.149943
0.492958	0.900411	0.872727	0.297979	0.149574
0.492958	0.899384	0.87177	0.296244	0.149336
0.492958	0.898357	0.870813	0.294526	0.149251
0.492958	0.897331	0.869856	0.292824	0.14896
0.507042	0.897331	0.870813	0.30244	0.146337
0.507042	0.896304	0.869856	0.300735	0.145878
0.507042	0.895277	0.8689	0.299045	0.145292
0.521127	0.895277	0.869856	0.308569	0.143699
0.521127	0.894251	0.8689	0.306876	0.14334
0.535211	0.894251	0.869856	0.316329	0.143083
0.535211	0.893224	0.8689	0.314634	0.142724
0.535211	0.892197	0.867943	0.312954	0.141981
0.535211	0.89117	0.866986	0.311289	0.141603
0.549296	0.89117	0.867943	0.320639	0.140587
0.549296	0.890144	0.866986	0.318971	0.138938
0.549296	0.889117	0.866029	0.317318	0.138256
0.549296	0.88809	0.865072	0.31568	0.137573
0.56338	0.88809	0.866029	0.324931	0.13733
0.56338	0.887064	0.865072	0.32329	0.136714
0.56338	0.886037	0.864115	0.321663	0.13654
0.56338	0.88501	0.863158	0.32005	0.136341
0.56338	0.883984	0.862201	0.31845	0.135397
0.56338	0.882957	0.861244	0.316864	0.133828
0.56338	0.88193	0.860287	0.31529	0.133779
0.56338	0.880903	0.85933	0.31373	0.133293
0.56338	0.879877	0.858373	0.312182	0.133016
0.56338	0.87885	0.857416	0.310647	0.131808
0.56338	0.877823	0.856459	0.309124	0.131031
0.56338	0.876797	0.855502	0.307613	0.130375
0.56338	0.87577	0.854545	0.306114	0.128805
0.56338	0.874743	0.853589	0.304626	0.128571
0.56338	0.873717	0.852632	0.303151	0.127551
0.56338	0.87269	0.851675	0.301686	0.127377
0.56338	0.871663	0.850718	0.300233	0.127044
0.56338	0.870637	0.849761	0.29879	0.126962
0.56338	0.86961	0.848804	0.297359	0.126409
0.56338	0.868583	0.847847	0.295938	0.125895
0.56338	0.867556	0.84689	0.294528	0.12588
0.56338	0.86653	0.845933	0.293128	0.124169
0.56338	0.865503	0.844976	0.291739	0.123876
0.56338	0.864476	0.844019	0.290359	0.123518
0.56338	0.86345	0.843062	0.28899	0.122876
0.56338	0.862423	0.842105	0.28763	0.122493
0.577465	0.862423	0.843062	0.296464	0.122229
0.577465	0.861396	0.842105	0.2951	0.119455
0.577465	0.86037	0.841148	0.293746	0.119415
0.577465	0.859343	0.840191	0.292401	0.118805
0.577465	0.858316	0.839234	0.291066	0.117917
0.577465	0.85729	0.838278	0.28974	0.117219
0.591549	0.85729	0.839234	0.298472	0.117126
0.591549	0.856263	0.838278	0.297142	0.116282
0.591549	0.855236	0.837321	0.295821	0.115968
0.591549	0.854209	0.836364	0.294509	0.11347
0.591549	0.853183	0.835407	0.293205	0.113281
0.591549	0.852156	0.83445	0.291911	0.113049
0.591549	0.851129	0.833493	0.290625	0.111254
0.591549	0.850103	0.832536	0.289347	0.11063
0.591549	0.849076	0.831579	0.288078	0.109069
0.591549	0.848049	0.830622	0.286817	0.108126
0.591549	0.847023	0.829665	0.285564	0.107997
0.591549	0.845996	0.828708	0.284319	0.107232
0.591549	0.844969	0.827751	0.283082	0.10673
0.591549	0.843943	0.826794	0.281853	0.105559
0.591549	0.842916	0.825837	0.280632	0.1046
0.591549	0.841889	0.82488	0.279418	0.104581
0.591549	0.840862	0.823923	0.278211	0.10399
0.591549	0.839836	0.822967	0.277013	0.103336
0.591549	0.838809	0.82201	0.275821	0.102835
0.591549	0.837782	0.821053	0.274636	0.101755
0.591549	0.836756	0.820096	0.273459	0.101088
0.591549	0.835729	0.819139	0.272289	0.100801
0.591549	0.834702	0.818182	0.271126	0.100501
0.591549	0.833676	0.817225	0.269969	0.0998332
0.591549	0.832649	0.816268	0.26882	0.0995029
0.591549	0.831622	0.815311	0.267677	0.0994577
0.591549	0.830595	0.814354	0.26654	0.0985017
0.591549	0.829569	0.813397	0.265411	0.0980361
0.591549	0.828542	0.81244	0.264287	0.0978834
0.591549	0.827515	0.811483	0.26317	0.0972929
0.591549	0.826489	0.810526	0.26206	0.0970109
0.605634	0.826489	0.811483	0.270411	0.0969326
0.605634	0.825462	0.810526	0.269297	0.0964596
0.605634	0.824435	0.809569	0.268188	0.096184
0.605634	0.823409	0.808612	0.267086	0.0958245
0.605634	0.822382	0.807656	0.265989	0.0957816
0.619718	0.822382	0.808612	0.274274	0.0953198
0.619718	0.821355	0.807656	0.273174	0.0948639
0.619718	0.820329	0.806699	0.272079	0.0947087
0.619718	0.819302	0.805742	0.270991	0.0944408
0.633803	0.819302	0.806699	0.279221	0.0943581
0.633803	0.818275	0.805742	0.278129	0.0941975
0.633803	0.817248	0.804785	0.277042	0.0940384
0.633803	0.816222	0.803828	0.275962	0.0936691
0.633803	0.815195	0.802871	0.274887	0.0936263
0.633803	0.814168	0.801914	0.273818	0.0924561
0.633803	0.813142	0.800957	0.272755	0.092335
0.647887	0.813142	0.801914	0.280904	0.0921618
0.647887	0.812115	0.800957	0.279837	0.0921347
0.647887	0.811088	0.8	0.278776	0.0920869
0.661972	0.811088	0.800957	0.286884	0.0906828
0.661972	0.810062	0.8	0.28582	0.0900117
0.661972	0.809035	0.799043	0.284761	0.0899988
0.661972	0.808008	0.798086	0.283707	0.0896474
0.676056	0.808008	0.799043	0.291767	0.0892693
0.676056	0.806982	0.798086	0.29071	0.0887608
0.676056	0.805955	0.797129	0.289658	0.0886153
0.676056	0.804928	0.796172	0.288612	0.0884825
0.676056	0.803901	0.795215	0.287571	0.0875923
0.676056	0.802875	0.794258	0.286535	0.0874639
