Sn	Sp	Acc	MCC	<<Cutoff
0	1	0.868049	-nan	1000
0.270903	0.954753	0.864519	0.289911	0.231069
0.270903	0.954245	0.864078	0.28848	0.231069
0.270903	0.953737	0.863636	0.287059	0.231067
0.274247	0.953737	0.864078	0.290559	0.231067
0.274247	0.953228	0.863636	0.289146	0.231066
0.274247	0.95272	0.863195	0.287743	0.231063
0.274247	0.952211	0.862754	0.28635	0.231059
0.277592	0.952211	0.863195	0.289827	0.231058
0.277592	0.951703	0.862754	0.288441	0.231054
0.277592	0.951195	0.862312	0.287065	0.231052
0.277592	0.950686	0.861871	0.285699	0.231052
0.277592	0.950178	0.86143	0.284343	0.231042
0.280936	0.950178	0.861871	0.287793	0.231041
0.280936	0.94967	0.86143	0.286443	0.23104
0.280936	0.949161	0.860989	0.285102	0.231038
0.284281	0.949161	0.86143	0.288533	0.231038
0.287625	0.949161	0.861871	0.291949	0.231035
0.287625	0.948653	0.86143	0.290612	0.231032
0.287625	0.948144	0.860989	0.289284	0.231027
0.287625	0.947636	0.860547	0.287965	0.231024
0.29097	0.947636	0.860989	0.291359	0.231022
0.29097	0.947128	0.860547	0.290046	0.231021
0.29097	0.946619	0.860106	0.288742	0.231019
0.29097	0.946111	0.859665	0.287446	0.231018
0.29097	0.945602	0.859223	0.286158	0.231017
0.29097	0.945094	0.858782	0.284879	0.231006
0.29097	0.944586	0.858341	0.283608	0.231002
0.29097	0.944077	0.857899	0.282345	0.230993
0.29097	0.943569	0.857458	0.281089	0.230992
0.294314	0.943569	0.857899	0.284449	0.23099
0.294314	0.94306	0.857458	0.283199	0.230987
0.297659	0.94306	0.857899	0.286544	0.230986
0.297659	0.942552	0.857458	0.285299	0.230984
0.297659	0.942044	0.857017	0.284062	0.230983
0.297659	0.941535	0.856575	0.282832	0.23097
0.301003	0.941535	0.857017	0.286156	0.230969
0.304348	0.941535	0.857458	0.289467	0.230963
0.304348	0.941027	0.857017	0.28824	0.230962
0.304348	0.940519	0.856575	0.28702	0.230959
0.304348	0.94001	0.856134	0.285808	0.230953
0.304348	0.939502	0.855693	0.284602	0.230951
0.304348	0.938993	0.855252	0.283404	0.230951
0.307692	0.938993	0.855693	0.286691	0.230949
0.307692	0.938485	0.855252	0.285497	0.230923
0.311037	0.938485	0.855693	0.288769	0.230908
0.314381	0.938485	0.856134	0.292029	0.230908
0.314381	0.937977	0.855693	0.290838	0.230905
0.314381	0.937468	0.855252	0.289653	0.230892
0.314381	0.93696	0.85481	0.288475	0.23086
0.314381	0.936451	0.854369	0.287304	0.230849
0.314381	0.935943	0.853928	0.286139	0.230842
0.314381	0.935435	0.853486	0.28498	0.230817
0.314381	0.934926	0.853045	0.283829	0.230795
0.314381	0.934418	0.852604	0.282683	0.230793
0.317726	0.934418	0.853045	0.285913	0.230783
0.317726	0.93391	0.852604	0.284771	0.230781
0.317726	0.933401	0.852162	0.283636	0.230776
0.317726	0.932893	0.851721	0.282507	0.230762
0.317726	0.932384	0.85128	0.281384	0.230714
0.317726	0.931876	0.850838	0.280267	0.230714
0.317726	0.931368	0.850397	0.279156	0.230706
0.317726	0.930859	0.849956	0.278051	0.230681
0.317726	0.930351	0.849515	0.276952	0.23068
0.317726	0.929842	0.849073	0.275858	0.230636
0.32107	0.929842	0.849515	0.279055	0.230621
0.32107	0.929334	0.849073	0.277965	0.230614
0.32107	0.928826	0.848632	0.276881	0.23061
0.32107	0.928317	0.848191	0.275802	0.230573
0.32107	0.927809	0.847749	0.274728	0.230565
0.324415	0.927809	0.848191	0.277906	0.230563
0.324415	0.9273	0.847749	0.276836	0.230544
0.327759	0.9273	0.848191	0.28	0.230489
0.331104	0.9273	0.848632	0.283155	0.230483
0.331104	0.926792	0.848191	0.282086	0.230474
0.331104	0.926284	0.847749	0.281021	0.23045
0.331104	0.925775	0.847308	0.279963	0.230437
0.331104	0.925267	0.846867	0.278909	0.230405
0.331104	0.924759	0.846425	0.277861	0.230385
0.334448	0.924759	0.846867	0.280994	0.230351
0.334448	0.92425	0.846425	0.279949	0.230336
0.334448	0.923742	0.845984	0.278909	0.230334
0.334448	0.923233	0.845543	0.277873	0.23033
0.334448	0.922725	0.845102	0.276843	0.230303
0.334448	0.922217	0.84466	0.275818	0.230276
0.334448	0.921708	0.844219	0.274797	0.23026
0.334448	0.9212	0.843778	0.273781	0.230232
0.334448	0.920691	0.843336	0.272771	0.230176
0.334448	0.920183	0.842895	0.271765	0.230167
0.334448	0.919675	0.842454	0.270763	0.230128
0.337793	0.919675	0.842895	0.273865	0.230034
0.337793	0.919166	0.842454	0.272866	0.230026
0.337793	0.918658	0.842012	0.271872	0.230022
0.341137	0.918658	0.842454	0.27496	0.230018
0.341137	0.918149	0.842012	0.273968	0.229981
0.341137	0.917641	0.841571	0.27298	0.229981
0.341137	0.917133	0.84113	0.271998	0.229967
0.341137	0.916624	0.840688	0.271019	0.229963
0.344482	0.916624	0.84113	0.27409	0.229914
0.344482	0.916116	0.840688	0.273113	0.229842
0.347826	0.916116	0.84113	0.276173	0.229813
0.347826	0.915608	0.840688	0.275199	0.2298
0.351171	0.915608	0.84113	0.278248	0.229798
0.351171	0.915099	0.840688	0.277276	0.229748
0.351171	0.914591	0.840247	0.276309	0.2297
0.351171	0.914082	0.839806	0.275346	0.229687
0.351171	0.913574	0.839365	0.274387	0.229608
0.354515	0.913574	0.839806	0.277419	0.229576
0.35786	0.913574	0.840247	0.280443	0.229559
0.35786	0.913066	0.839806	0.279484	0.22955
0.35786	0.912557	0.839365	0.278529	0.229405
0.35786	0.912049	0.838923	0.277578	0.229386
0.361204	0.912049	0.839365	0.280588	0.229382
0.361204	0.91154	0.838923	0.279639	0.229382
0.364548	0.91154	0.839365	0.282639	0.229355
0.364548	0.911032	0.838923	0.281693	0.229342
0.364548	0.910524	0.838482	0.28075	0.229291
0.367893	0.910524	0.838923	0.283738	0.229192
0.371237	0.910524	0.839365	0.286718	0.229052
0.371237	0.910015	0.838923	0.285776	0.22905
0.371237	0.909507	0.838482	0.284837	0.229014
0.371237	0.908998	0.838041	0.283902	0.228998
0.371237	0.90849	0.837599	0.282972	0.228992
0.371237	0.907982	0.837158	0.282045	0.228982
0.371237	0.907473	0.836717	0.281122	0.22898
0.374582	0.907473	0.837158	0.284083	0.228941
0.374582	0.906965	0.836717	0.283161	0.228908
0.374582	0.906457	0.836275	0.282244	0.228862
0.377926	0.906457	0.836717	0.285194	0.228842
0.377926	0.905948	0.836275	0.284278	0.228824
0.377926	0.90544	0.835834	0.283366	0.228821
0.377926	0.904931	0.835393	0.282458	0.228769
0.377926	0.904423	0.834951	0.281553	0.228752
0.377926	0.903915	0.83451	0.280652	0.228747
0.377926	0.903406	0.834069	0.279754	0.228669
0.377926	0.902898	0.833628	0.27886	0.228633
0.377926	0.902389	0.833186	0.277969	0.228633
0.377926	0.901881	0.832745	0.277082	0.228585
0.377926	0.901373	0.832304	0.276198	0.228577
0.377926	0.900864	0.831862	0.275318	0.228564
0.381271	0.900864	0.832304	0.27824	0.228441
0.381271	0.900356	0.831862	0.277362	0.228401
0.381271	0.899847	0.831421	0.276486	0.228393
0.384615	0.899847	0.831862	0.279398	0.228328
0.384615	0.899339	0.831421	0.278524	0.228274
0.384615	0.898831	0.83098	0.277654	0.228161
0.38796	0.898831	0.831421	0.280555	0.228148
0.38796	0.898322	0.83098	0.279686	0.2281
0.391304	0.898322	0.831421	0.28258	0.228045
0.394649	0.898322	0.831862	0.285466	0.228038
0.394649	0.897814	0.831421	0.284597	0.228038
0.394649	0.897306	0.83098	0.283731	0.227972
0.397993	0.897306	0.831421	0.286607	0.227962
0.397993	0.896797	0.83098	0.285743	0.227902
0.397993	0.896289	0.830538	0.284881	0.227865
0.401338	0.896289	0.83098	0.287748	0.22784
0.401338	0.89578	0.830538	0.286888	0.227825
0.404682	0.89578	0.83098	0.289747	0.227681
0.408027	0.89578	0.831421	0.292599	0.227669
0.408027	0.895272	0.83098	0.291739	0.227574
0.408027	0.894764	0.830538	0.290882	0.227568
0.408027	0.894255	0.830097	0.290028	0.227551
0.411371	0.894255	0.830538	0.29287	0.227495
0.411371	0.893747	0.830097	0.292017	0.227481
0.414716	0.893747	0.830538	0.294851	0.227475
0.414716	0.893238	0.830097	0.294	0.227457
0.414716	0.89273	0.829656	0.293152	0.227431
0.414716	0.892222	0.829214	0.292307	0.227422
0.414716	0.891713	0.828773	0.291465	0.227352
0.414716	0.891205	0.828332	0.290626	0.227313
0.414716	0.890696	0.827891	0.28979	0.227173
0.41806	0.890696	0.828332	0.292608	0.227141
0.41806	0.890188	0.827891	0.291774	0.227107
0.421405	0.890188	0.828332	0.294584	0.227089
0.421405	0.88968	0.827891	0.293751	0.227089
0.421405	0.889171	0.827449	0.29292	0.227083
0.421405	0.888663	0.827008	0.292093	0.226796
0.421405	0.888155	0.826567	0.291268	0.226588
